S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,295.00,295.00,285.00,290.00,289.42,"14,268.00",295.00,"4,129,463.00",83,-5.00,10.00,0.00,3.51,0.20,0.00,0.00
2,CBL,-,144.00,148.00,143.00,146.00,145.97,"11,614.00",144.00,"1,695,306.00",53,2.00,5.00,0.00,3.50,0.02,0.00,0.00
3,CZBIL,-,272.00,277.00,270.00,273.00,272.50,"1,637.00",272.00,"446,077.00",15,1.00,7.00,0.00,2.59,0.18,0.00,0.00
4,EBL,-,"1,806.00","1,821.00","1,807.00","1,810.00","1,815.60","4,226.00","1,806.00","7,672,733.00",37,4.00,14.00,0.00,0.77,-0.31,0.00,0.00
5,GBIME,-,443.00,448.00,437.00,448.00,441.32,"15,091.00",443.00,"6,659,986.00",76,5.00,11.00,0.00,2.52,1.49,0.00,0.00
6,HBL,-,732.00,744.00,715.00,744.00,729.12,"2,367.00",732.00,"1,725,830.00",22,12.00,29.00,0.00,4.06,2.00,0.00,0.00
7,KBL,-,315.00,334.00,316.00,327.00,327.28,"31,326.00",315.00,"10,252,365.00",99,12.00,18.00,0.00,5.70,-0.09,0.00,0.00
8,LBL,-,343.00,364.00,335.00,354.00,345.53,"12,657.00",343.00,"4,373,387.00",32,11.00,29.00,0.00,8.66,2.39,0.00,0.00
9,MBL,-,206.00,210.00,204.00,204.00,207.42,"4,416.00",206.00,"915,987.00",13,-2.00,6.00,0.00,2.94,-1.68,0.00,0.00
10,NABIL,-,"1,838.00","1,855.00","1,830.00","1,855.00","1,841.14",807.00,"1,838.00","1,485,800.00",10,17.00,25.00,0.00,1.37,0.75,0.00,0.00
11,NBB,-,296.00,304.00,294.00,301.00,299.27,"9,255.00",296.00,"2,769,730.00",34,5.00,10.00,0.00,3.40,0.58,0.00,0.00
12,NBL,-,163.00,166.00,161.00,166.00,163.19,"1,102.00",163.00,"179,839.00",7,3.00,5.00,0.00,3.11,1.69,0.00,0.00
13,NCCB,-,264.00,275.00,262.00,273.00,268.87,"21,668.00",264.00,"5,825,941.00",53,9.00,13.00,0.00,4.96,1.51,0.00,0.00
14,NIB,-,825.00,840.00,821.00,823.00,828.30,"5,084.00",825.00,"4,211,075.00",29,-2.00,19.00,0.00,2.31,-0.64,0.00,0.00
15,NICA,-,640.00,652.00,635.00,647.00,645.89,"11,568.00",640.00,"7,471,614.00",74,7.00,17.00,0.00,2.68,0.17,0.00,0.00
16,NMB,-,256.00,260.00,255.00,258.00,257.21,"6,881.00",256.00,"1,769,891.00",13,2.00,5.00,0.00,1.96,0.30,0.00,0.00
17,PCBL,-,312.00,322.00,315.00,317.00,317.37,"3,050.00",312.00,"967,975.00",24,5.00,7.00,0.00,2.22,-0.12,0.00,0.00
18,SANIMA,-,260.00,265.00,255.00,258.00,259.40,"9,717.00",260.00,"2,520,591.00",18,-2.00,10.00,0.00,3.92,-0.54,0.00,0.00
19,SBI,-,845.00,850.00,840.00,850.00,842.22,"1,932.00",845.00,"1,627,169.00",7,5.00,10.00,0.00,1.19,0.92,0.00,0.00
20,SBL,-,387.00,404.00,392.00,395.00,397.12,"21,576.00",387.00,"8,568,323.00",78,8.00,12.00,0.00,3.06,-0.54,0.00,0.00
21,SCB,-,"1,840.00","1,850.00","1,830.00","1,835.00","1,834.00","1,024.00","1,840.00","1,878,020.00",9,-5.00,20.00,0.00,1.09,0.05,0.00,0.00
22,SRBL,-,235.00,239.00,230.00,235.00,234.46,"3,457.00",235.00,"810,530.00",30,0.00,9.00,0.00,3.91,0.23,0.00,0.00
