S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,53.63,458.00,458.00,441.00,445.00,444.62,"115,291.00",459.00,"51,261,165.00",441,-14.00,17.00,-3.05,3.85,0.08,576.00,313.00
2,BOKL,50.30,296.00,298.00,285.00,289.00,291.05,"132,973.00",301.00,"38,701,337.00",519,-12.00,13.00,-3.99,4.56,-0.71,344.00,196.00
3,CBL,53.92,233.00,233.00,213.00,220.00,217.76,"499,528.00",222.00,"108,777,577.00","1,182",-2.00,20.00,-0.90,9.39,1.02,245.00,125.00
4,CCBL,64.90,226.00,235.00,221.00,230.00,229.38,"760,495.00",226.00,"174,441,444.00","1,390",4.00,14.00,1.77,6.33,0.27,242.00,136.00
5,CZBIL,51.57,280.00,282.00,272.00,275.00,276.10,"205,361.00",284.00,"56,700,893.00",636,-9.00,10.00,-3.17,3.68,-0.40,312.00,164.00
6,EBL,51.67,785.00,785.00,765.00,770.00,771.32,"114,235.00",790.00,"88,111,843.00",524,-20.00,20.00,-2.53,2.61,-0.17,932.00,520.00
7,GBIME,53.48,341.00,344.00,333.00,334.00,336.58,"213,318.00",341.00,"71,798,850.00","1,097",-7.00,11.00,-2.05,3.30,-0.77,383.00,211.00
8,HBL,53.38,541.00,541.00,525.00,535.00,533.64,"25,664.00",548.00,"13,695,317.00",278,-13.00,16.00,-2.37,3.05,0.25,749.00,452.00
9,KBL,55.54,285.00,285.00,274.00,278.00,278.94,"376,713.00",281.00,"105,080,379.00","1,351",-3.00,11.00,-1.07,4.01,-0.34,310.00,153.00
10,LBL,49.46,276.00,276.00,266.00,267.00,268.41,"70,531.00",276.00,"18,931,144.00",225,-9.00,10.00,-3.26,3.76,-0.53,325.00,184.00
11,MBL,52.19,276.00,285.00,270.00,271.00,273.49,"197,708.00",276.00,"54,070,551.00",433,-5.00,15.00,-1.81,5.56,-0.92,315.00,199.00
12,MEGA,54.84,285.00,285.00,269.00,274.00,273.62,"396,066.00",285.00,"108,369,793.00","1,022",-11.00,16.00,-3.86,5.95,0.14,312.00,182.00
13,NABIL,52.45,"1,088.00","1,145.00","1,088.00","1,110.00","1,117.64","114,576.00","1,145.00","128,054,421.00","1,039",-35.00,57.00,-3.06,5.24,-0.69,"1,550.00",594.00
14,NBB,50.40,288.00,295.00,278.00,287.00,285.50,"165,467.00",288.00,"47,240,559.00",491,-1.00,17.00,-0.35,6.12,0.52,330.00,169.00
15,NBL,51.37,375.00,381.00,364.00,368.00,370.78,"344,454.00",377.00,"127,715,832.00",777,-9.00,17.00,-2.39,4.67,-0.75,427.00,214.00
16,NCCB,51.72,336.00,336.00,317.00,327.00,325.56,"187,435.00",336.00,"61,021,190.00",604,-9.00,19.00,-2.68,5.99,0.44,385.00,163.00
17,NIB,55.31,450.00,451.00,440.00,443.00,443.54,"87,754.00",456.00,"38,922,566.00",646,-13.00,11.00,-2.85,2.50,-0.12,557.00,335.00
18,NICA,54.48,875.00,880.00,858.00,860.00,864.96,"356,920.00",875.00,"308,720,078.00","1,533",-15.00,22.00,-1.71,2.56,-0.58,963.00,422.00
19,NMB,50.61,425.00,432.00,419.00,421.00,423.39,"197,295.00",425.00,"83,533,365.00",845,-4.00,13.00,-0.94,3.10,-0.57,517.00,321.00
20,PCBL,57.57,452.00,454.00,439.00,442.00,442.87,"443,269.00",457.00,"196,312,626.00","1,035",-15.00,15.00,-3.28,3.42,-0.20,482.00,219.19
21,PRVU,51.64,433.00,433.00,420.00,424.00,425.36,"509,343.00",433.00,"216,656,202.00","1,813",-9.00,13.00,-2.08,3.10,-0.32,474.00,195.00
22,SANIMA,49.44,343.00,345.00,336.00,337.00,339.00,"119,107.00",343.00,"40,377,556.00",393,-6.00,9.00,-1.75,2.68,-0.59,437.00,287.00
23,SBI,48.78,430.00,437.00,420.00,420.00,427.18,"42,514.00",438.00,"18,161,177.00",240,-18.00,17.00,-4.11,4.05,-1.71,583.00,373.00
24,SBL,50.37,380.00,382.00,365.00,368.00,371.14,"166,519.00",382.00,"61,801,979.00",603,-14.00,17.00,-3.66,4.66,-0.85,479.00,252.00
25,SCB,50.74,640.00,640.00,626.00,628.00,630.44,"43,770.00",642.00,"27,594,230.00",397,-14.00,14.00,-2.18,2.24,-0.39,850.00,505.00
26,SRBL,51.61,285.00,285.00,272.00,276.00,275.87,"128,136.00",285.00,"35,349,262.00",377,-9.00,13.00,-3.16,4.78,0.05,316.00,201.00
