S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,43.33,425.00,425.00,414.00,415.00,416.02,"27,971.00",419.00,"11,636,379.00",132,-4.00,11.00,-0.95,2.66,-0.24,475.00,313.00
2,BOKL,46.84,225.00,227.00,222.00,225.00,225.00,"37,044.00",228.00,"8,335,061.00",97,-3.00,5.00,-1.32,2.25,-0.00,296.00,196.00
3,CBL,52.80,146.00,148.00,145.00,147.00,146.24,"60,219.00",147.00,"8,806,683.00",123,0.00,3.00,0.00,2.07,0.51,167.00,125.00
4,CCBL,38.69,175.00,179.00,173.00,175.00,176.40,"27,623.00",178.00,"4,872,661.00",147,-3.00,6.00,-1.69,3.47,-0.80,210.00,136.00
5,CZBIL,45.56,197.00,200.00,195.00,198.00,198.29,"42,795.00",201.00,"8,485,780.00",169,-3.00,5.00,-1.49,2.56,-0.15,240.00,164.00
6,EBL,44.55,730.00,730.00,718.00,725.00,723.32,"21,518.00",730.00,"15,564,414.00",130,-5.00,12.00,-0.68,1.67,0.23,932.00,517.00
7,GBIME,46.71,258.00,258.00,252.00,254.00,254.94,"64,084.00",256.00,"16,337,775.00",291,-2.00,6.00,-0.78,2.38,-0.37,331.00,144.48
8,HBL,48.19,555.00,556.00,552.00,552.00,553.66,470.00,562.00,"260,219.00",13,-10.00,4.00,-1.78,0.72,-0.30,735.00,452.00
9,KBL,43.62,191.00,194.00,191.00,192.00,192.27,"30,879.00",193.00,"5,937,163.00",109,-1.00,3.00,-0.52,1.57,-0.14,240.00,153.00
10,LBL,36.47,229.00,230.00,227.00,228.00,228.11,"6,695.00",231.00,"1,527,170.00",54,-3.00,3.00,-1.30,1.32,-0.05,270.00,184.00
11,MBL,39.81,229.00,230.00,226.00,227.00,227.69,"21,299.00",233.00,"4,849,609.00",102,-6.00,4.00,-2.58,1.77,-0.30,295.00,199.00
12,MEGA,44.38,227.00,227.00,223.00,224.00,225.09,"64,324.00",228.00,"14,478,978.00",235,-4.00,4.00,-1.75,1.79,-0.49,279.00,177.00
13,NABIL,45.64,877.00,877.00,820.00,825.00,829.51,"36,200.00",836.00,"30,028,322.00",309,-11.00,57.00,-1.32,6.95,-0.55,"1,000.00",594.00
14,NBB,54.75,205.00,205.00,201.00,203.00,202.19,"29,904.00",209.00,"6,046,203.00",164,-6.00,4.00,-2.87,1.99,0.40,270.00,169.00
15,NBL,49.07,275.00,275.00,268.00,272.00,271.17,"71,146.00",275.00,"19,292,649.00",239,-3.00,7.00,-1.09,2.61,0.31,332.00,214.00
16,NCCB,48.99,202.00,202.00,193.00,195.00,194.69,"84,743.00",197.00,"16,498,780.00",134,-2.00,9.00,-1.02,4.66,0.16,242.00,163.00
17,NIB,39.54,448.00,448.00,440.00,442.00,442.71,"36,639.00",449.00,"16,220,416.00",291,-7.00,8.00,-1.56,1.82,-0.16,532.00,335.00
18,NICA,57.15,570.00,583.00,570.00,577.00,576.52,"120,252.00",574.00,"69,327,182.00",412,3.00,13.00,0.52,2.28,0.08,680.00,372.00
19,NMB,46.59,424.00,427.00,417.00,417.00,421.00,"97,693.00",428.00,"41,129,195.00",460,-11.00,10.00,-2.57,2.40,-0.96,517.00,321.00
20,PCBL,47.13,268.00,271.00,268.00,268.00,268.99,"36,352.00",271.00,"9,778,320.00",154,-3.00,3.00,-1.11,1.12,-0.37,352.00,219.19
21,PRVU,38.38,231.00,236.00,230.00,232.00,232.02,"49,023.00",235.00,"11,374,169.00",187,-3.00,6.00,-1.28,2.61,-0.01,292.00,195.00
22,SANIMA,46.35,352.00,352.00,343.00,345.00,346.15,"21,751.00",352.00,"7,529,100.00",138,-7.00,9.00,-1.99,2.62,-0.33,437.00,287.00
23,SBI,53.21,430.00,432.00,422.00,424.00,426.60,"8,557.00",434.00,"3,650,409.00",71,-10.00,10.00,-2.30,2.37,-0.61,583.00,344.00
24,SBL,43.13,296.00,297.00,292.00,292.00,294.03,"65,668.00",295.00,"19,308,369.00",178,-3.00,5.00,-1.02,1.71,-0.70,393.00,252.00
25,SCB,54.25,651.00,657.00,651.00,653.00,654.59,"11,501.00",662.00,"7,528,478.00",121,-9.00,6.00,-1.36,0.92,-0.24,850.00,505.00
26,SRBL,47.69,234.00,237.00,233.00,233.00,233.71,"10,145.00",238.00,"2,370,975.00",57,-5.00,4.00,-2.10,1.72,-0.30,316.00,201.00
