S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,568.00,615.00,579.00,593.00,590.23,"53,666.00",568.00,"31,675,100.00",136,25.00,36.00,0.00,6.22,0.47,0.00,0.00
2,CBL,-,261.00,263.00,255.00,256.00,258.96,"27,465.00",261.00,"7,112,334.00",49,-5.00,8.00,0.00,3.14,-1.16,0.00,0.00
3,CCBL,-,347.00,351.00,345.00,345.00,347.81,"22,862.00",347.00,"7,951,660.00",97,-2.00,6.00,0.00,1.74,-0.81,0.00,0.00
4,CZBIL,-,605.00,615.00,608.00,614.00,611.77,"18,605.00",605.00,"11,382,067.00",52,9.00,7.00,0.00,1.15,0.36,0.00,0.00
5,EBL,-,"2,354.00","2,368.00","2,330.00","2,340.00","2,346.59","6,593.00","2,354.00","15,471,040.00",51,-14.00,38.00,0.00,1.63,-0.28,0.00,0.00
6,GBIME,-,466.00,475.00,460.00,470.00,469.82,"44,273.00",466.00,"20,800,532.00",160,4.00,15.00,0.00,3.26,0.04,0.00,0.00
7,HBL,-,975.00,984.00,965.00,984.00,965.92,"1,006.00",975.00,"971,720.00",7,9.00,19.00,0.00,1.97,1.84,0.00,0.00
8,LBL,-,570.00,590.00,570.00,580.00,575.64,"17,728.00",570.00,"10,204,987.00",67,10.00,20.00,0.00,3.51,0.75,0.00,0.00
9,NABIL,-,"1,920.00","1,935.00","1,915.00","1,921.00","1,922.69","3,643.00","1,920.00","7,004,374.00",31,1.00,20.00,0.00,1.04,-0.09,0.00,0.00
10,NBB,-,489.00,488.00,476.00,477.00,480.40,"12,417.00",489.00,"5,965,173.00",40,-12.00,12.00,0.00,2.52,-0.71,0.00,0.00
11,NBL,-,338.00,338.00,331.00,338.00,335.14,"27,344.00",338.00,"9,163,973.00",47,0.00,7.00,0.00,2.11,0.85,0.00,0.00
12,NIB,-,775.00,780.00,765.00,772.00,770.37,"8,600.00",775.00,"6,625,216.00",42,-3.00,15.00,0.00,1.96,0.21,0.00,0.00
13,NICA,-,728.00,720.00,715.00,715.00,717.27,"4,750.00",728.00,"3,407,020.00",36,-13.00,5.00,0.00,0.70,-0.32,0.00,0.00
14,NMB,-,471.00,475.00,467.00,471.00,470.24,"8,650.00",471.00,"4,067,567.00",29,0.00,8.00,0.00,1.71,0.16,0.00,0.00
15,PCBL,-,514.00,515.00,506.00,511.00,509.70,"5,345.00",514.00,"2,724,367.00",25,-3.00,9.00,0.00,1.78,0.25,0.00,0.00
16,SANIMA,-,699.00,702.00,695.00,699.00,698.84,"60,328.00",699.00,"42,159,460.00",121,0.00,7.00,0.00,1.01,0.02,0.00,0.00
17,SBI,-,"1,260.00","1,274.00","1,266.00","1,270.00","1,270.02","14,859.00","1,260.00","18,871,154.00",41,10.00,8.00,0.00,0.63,-0.00,0.00,0.00
18,SCB,-,"2,670.00","2,671.00","2,645.00","2,645.00","2,659.64","4,939.00","2,670.00","13,135,978.00",41,-25.00,26.00,0.00,0.98,-0.55,0.00,0.00
19,SRBL,-,424.00,431.00,421.00,427.00,427.17,"14,549.00",424.00,"6,214,910.00",53,3.00,10.00,0.00,2.38,-0.04,0.00,0.00
