S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,486.00,485.00,477.00,482.00,482.16,"17,521.00",486.00,"8,447,946.00",88,-4.00,8.00,0.00,1.68,-0.03,0.00,0.00
2,CZBIL,-,417.00,425.00,414.00,416.00,416.67,"15,188.00",417.00,"6,328,407.00",47,-1.00,11.00,0.00,2.66,-0.16,0.00,0.00
3,EBL,-,"2,195.00","2,202.00","2,190.00","2,195.00","2,193.26","2,295.00","2,195.00","5,033,526.00",19,0.00,12.00,0.00,0.55,0.08,0.00,0.00
4,KBL,-,402.00,404.00,395.00,395.00,399.64,"3,740.00",402.00,"1,494,655.00",21,-7.00,9.00,0.00,2.28,-1.17,0.00,0.00
5,LBL,-,461.00,460.00,460.00,460.00,460.00,100.00,461.00,"46,000.00",1,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
6,MBL,-,468.00,464.00,450.00,455.00,456.14,"15,115.00",468.00,"6,894,520.00",23,-13.00,14.00,0.00,3.11,-0.25,0.00,0.00
7,MEGA,-,395.00,397.00,382.00,390.00,389.28,"7,827.00",395.00,"3,046,904.00",59,-5.00,15.00,0.00,3.93,0.18,0.00,0.00
8,NABIL,-,"1,900.00","1,920.00","1,890.00","1,910.00","1,894.64","1,057.00","1,900.00","2,002,630.00",11,10.00,30.00,0.00,1.59,0.80,0.00,0.00
9,NBB,-,595.00,606.00,585.00,585.00,589.28,"7,375.00",595.00,"4,345,910.00",37,-10.00,21.00,0.00,3.59,-0.73,0.00,0.00
10,NBL,-,315.00,322.00,310.00,314.00,314.68,"18,121.00",315.00,"5,702,375.00",26,-1.00,12.00,0.00,3.87,-0.22,0.00,0.00
11,NCCB,-,415.00,417.00,405.00,413.00,408.51,"12,104.00",415.00,"4,944,596.00",24,-2.00,12.00,0.00,2.96,1.09,0.00,0.00
12,NIB,-,830.00,830.00,810.00,810.00,816.18,"9,262.00",830.00,"7,559,503.00",38,-20.00,20.00,0.00,2.47,-0.76,0.00,0.00
13,NICA,-,723.00,725.00,710.00,718.00,715.52,"7,193.00",723.00,"5,146,756.00",29,-5.00,15.00,0.00,2.11,0.35,0.00,0.00
14,NMB,-,394.00,398.00,383.00,383.00,392.70,"4,110.00",394.00,"1,613,992.00",19,-11.00,15.00,0.00,3.92,-2.53,0.00,0.00
15,PCBL,-,458.00,460.00,450.00,451.00,453.62,"8,488.00",458.00,"3,850,295.00",51,-7.00,10.00,0.00,2.22,-0.58,0.00,0.00
16,SANIMA,-,461.00,467.00,458.00,460.00,461.05,"6,921.00",461.00,"3,190,952.00",19,-1.00,9.00,0.00,1.97,-0.23,0.00,0.00
17,SBI,-,975.00,980.00,970.00,970.00,971.06,"6,557.00",975.00,"6,367,216.00",17,-5.00,10.00,0.00,1.03,-0.11,0.00,0.00
18,SBL,-,548.00,549.00,530.00,536.00,538.30,"4,612.00",548.00,"2,482,622.00",12,-12.00,19.00,0.00,3.58,-0.43,0.00,0.00
19,SCB,-,"1,795.00","1,794.00","1,750.00","1,750.00","1,765.90",965.00,"1,795.00","1,704,090.00",6,-45.00,44.00,0.00,2.51,-0.91,0.00,0.00
20,SRBL,-,390.00,391.00,385.00,385.00,387.68,836.00,390.00,"324,098.00",8,-5.00,6.00,0.00,1.56,-0.70,0.00,0.00
