S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,469.00,469.00,464.00,467.00,465.78,"1,251.00",469.00,"582,689.00",13,-2.00,5.00,0.00,1.08,0.26,0.00,0.00
2,CBL,-,284.00,294.00,281.00,286.00,287.75,"2,825.00",284.00,"812,886.00",18,2.00,13.00,0.00,4.63,-0.61,0.00,0.00
3,CCBL,-,314.00,317.00,310.00,314.00,314.83,"1,156.00",314.00,"363,940.00",14,0.00,7.00,0.00,2.26,-0.26,0.00,0.00
4,CZBIL,-,452.00,451.00,446.00,447.00,448.60,"2,401.00",452.00,"1,077,079.00",14,-5.00,5.00,0.00,1.12,-0.36,0.00,0.00
5,EBL,-,"2,101.00","2,100.00","2,080.00","2,093.00","2,091.05","3,194.00","2,101.00","6,678,827.00",16,-8.00,20.00,0.00,0.96,0.09,0.00,0.00
6,GBIME,-,453.00,462.00,448.00,455.00,451.20,"8,192.00",453.00,"3,696,231.00",47,2.00,14.00,0.00,3.13,0.84,0.00,0.00
7,HBL,-,865.00,877.00,860.00,860.00,861.47,"3,617.00",865.00,"3,115,919.00",8,-5.00,17.00,0.00,1.98,-0.17,0.00,0.00
8,KBL,-,377.00,384.00,377.00,380.00,380.63,"13,842.00",377.00,"5,268,704.00",34,3.00,7.00,0.00,1.86,-0.17,0.00,0.00
9,LBL,-,539.00,548.00,531.00,546.00,538.94,"1,613.00",539.00,"869,318.00",16,7.00,17.00,0.00,3.20,1.29,0.00,0.00
10,MBL,-,549.00,556.00,550.00,553.00,553.73,"4,364.00",549.00,"2,416,491.00",12,4.00,6.00,0.00,1.09,-0.13,0.00,0.00
11,NABIL,-,"1,900.00","1,900.00","1,880.00","1,900.00","1,881.31",919.00,"1,900.00","1,728,920.00",6,0.00,20.00,0.00,1.06,0.98,0.00,0.00
12,NBB,-,503.00,510.00,498.00,510.00,500.45,"8,366.00",503.00,"4,186,785.00",21,7.00,12.00,0.00,2.41,1.87,0.00,0.00
13,NBL,-,320.00,318.00,308.00,318.00,311.46,"3,850.00",320.00,"1,199,120.00",11,-2.00,10.00,0.00,3.25,2.06,0.00,0.00
14,NCCB,-,611.00,611.00,598.00,600.00,604.51,"9,558.00",611.00,"5,777,935.00",20,-11.00,13.00,0.00,2.17,-0.75,0.00,0.00
15,NIB,-,706.00,703.00,700.00,703.00,701.29,"2,659.00",706.00,"1,864,724.00",8,-3.00,3.00,0.00,0.43,0.24,0.00,0.00
16,NICA,-,652.00,657.00,641.00,649.00,649.11,"6,193.00",652.00,"4,019,916.00",27,-3.00,16.00,0.00,2.50,-0.02,0.00,0.00
17,PCBL,-,439.00,439.00,430.00,430.00,433.13,"9,231.00",439.00,"3,998,201.00",27,-9.00,9.00,0.00,2.09,-0.73,0.00,0.00
18,PRVU,-,330.00,330.00,326.00,328.00,328.30,"67,872.00",330.00,"22,282,178.00",31,-2.00,4.00,0.00,1.23,-0.09,0.00,0.00
19,SANIMA,-,548.00,549.00,543.00,548.00,545.37,"14,741.00",548.00,"8,039,289.00",25,0.00,6.00,0.00,1.10,0.48,0.00,0.00
20,SBI,-,921.00,920.00,911.00,920.00,914.55,"3,920.00",921.00,"3,585,031.00",14,-1.00,9.00,0.00,0.99,0.59,0.00,0.00
21,SBL,-,657.00,665.00,657.00,658.00,659.36,"4,352.00",657.00,"2,869,541.00",10,1.00,8.00,0.00,1.22,-0.21,0.00,0.00
22,SCB,-,"1,929.00","1,932.00","1,915.00","1,930.00","1,926.33",681.00,"1,929.00","1,311,832.00",9,1.00,17.00,0.00,0.89,0.19,0.00,0.00
23,SRBL,-,394.00,394.00,388.00,394.00,390.46,"1,300.00",394.00,"507,595.00",13,0.00,6.00,0.00,1.55,0.90,0.00,0.00
