S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,475.00,480.00,470.00,480.00,475.80,"1,184.00",475.00,"563,346.00",19,5.00,10.00,0.00,2.13,0.88,0.00,0.00
2,CBL,-,303.00,303.00,297.00,299.00,298.23,"5,078.00",303.00,"1,514,422.00",15,-4.00,6.00,0.00,2.02,0.26,0.00,0.00
3,CCBL,-,322.00,330.00,323.00,330.00,325.98,"4,209.00",322.00,"1,372,064.00",27,8.00,7.00,0.00,2.17,1.22,0.00,0.00
4,CZBIL,-,460.00,462.00,451.00,458.00,455.27,"4,085.00",460.00,"1,859,781.00",22,-2.00,11.00,0.00,2.44,0.60,0.00,0.00
5,EBL,-,"2,130.00","2,140.00","2,110.00","2,124.00","2,121.60","1,226.00","2,130.00","2,601,076.00",9,-6.00,30.00,0.00,1.42,0.11,0.00,0.00
6,GBIME,-,461.00,469.00,460.00,469.00,464.38,"4,817.00",461.00,"2,236,906.00",60,8.00,9.00,0.00,1.96,0.99,0.00,0.00
7,HBL,-,885.00,880.00,877.00,880.00,878.73,833.00,885.00,"731,984.00",3,-5.00,3.00,0.00,0.34,0.14,0.00,0.00
8,KBL,-,391.00,392.00,384.00,392.00,388.35,"7,384.00",391.00,"2,867,572.00",21,1.00,8.00,0.00,2.08,0.93,0.00,0.00
9,LBL,-,529.00,543.00,533.00,540.00,537.34,"2,270.00",529.00,"1,219,752.00",13,11.00,10.00,0.00,1.88,0.49,0.00,0.00
10,MBL,-,561.00,571.00,561.00,570.00,567.90,"13,199.00",561.00,"7,495,663.00",30,9.00,10.00,0.00,1.78,0.37,0.00,0.00
11,NABIL,-,"1,926.00","1,940.00","1,903.00","1,930.00","1,911.74","1,809.00","1,926.00","3,458,343.00",10,4.00,37.00,0.00,1.94,0.95,0.00,0.00
12,NBB,-,525.00,520.00,516.00,518.00,518.36,"9,262.00",525.00,"4,801,059.00",25,-7.00,4.00,0.00,0.78,-0.07,0.00,0.00
13,NBL,-,344.00,338.00,320.00,324.00,323.48,"16,618.00",344.00,"5,375,554.00",27,-20.00,18.00,0.00,5.63,0.16,0.00,0.00
14,NCCB,-,617.00,616.00,610.00,614.00,611.68,"7,883.00",617.00,"4,821,845.00",14,-3.00,6.00,0.00,0.98,0.38,0.00,0.00
15,NIB,-,727.00,741.00,713.00,732.00,724.99,"5,248.00",727.00,"3,804,760.00",15,5.00,28.00,0.00,3.93,0.96,0.00,0.00
16,NICA,-,666.00,666.00,660.00,662.00,661.77,"5,324.00",666.00,"3,523,240.00",24,-4.00,6.00,0.00,0.91,0.04,0.00,0.00
17,PCBL,-,459.00,455.00,450.00,450.00,451.45,"4,985.00",459.00,"2,250,497.00",24,-9.00,5.00,0.00,1.11,-0.32,0.00,0.00
18,PRVU,-,349.00,360.00,346.00,350.00,353.14,"92,783.00",349.00,"32,765,338.00",185,1.00,14.00,0.00,4.05,-0.90,0.00,0.00
19,SANIMA,-,550.00,552.00,543.00,547.00,548.87,"4,037.00",550.00,"2,215,783.00",12,-3.00,9.00,0.00,1.66,-0.34,0.00,0.00
20,SBI,-,940.00,935.00,913.00,935.00,927.22,"2,129.00",940.00,"1,974,043.00",5,-5.00,22.00,0.00,2.41,0.83,0.00,0.00
21,SBL,-,684.00,683.00,680.00,681.00,681.53,"1,025.00",684.00,"698,565.00",4,-3.00,3.00,0.00,0.44,-0.08,0.00,0.00
22,SCB,-,"2,011.00","2,000.00","2,000.00","2,000.00","2,000.00",55.00,"2,011.00","110,000.00",2,-11.00,0.00,0.00,0.00,0.00,0.00,0.00
23,SRBL,-,398.00,393.00,390.00,392.00,392.16,"1,712.00",398.00,"671,380.00",11,-6.00,3.00,0.00,0.77,-0.04,0.00,0.00
