S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,745.00,775.00,743.00,761.00,764.23,"24,816.00",745.00,"18,965,190.00",91,16.00,32.00,0.00,4.31,-0.42,0.00,0.00
2,CCBL,-,475.00,475.00,466.00,470.00,471.41,"21,248.00",475.00,"10,016,566.00",98,-5.00,9.00,0.00,1.93,-0.30,0.00,0.00
3,CZBIL,-,654.00,663.00,654.00,660.00,659.49,"15,886.00",654.00,"10,476,629.00",86,6.00,9.00,0.00,1.38,0.08,0.00,0.00
4,EBL,-,"3,355.00","3,468.00","3,300.00","3,400.00","3,371.21","21,614.00","3,355.00","72,865,384.00",93,45.00,168.00,0.00,5.09,0.85,0.00,0.00
5,GBIME,-,513.00,525.00,513.00,522.00,519.74,"83,142.00",513.00,"43,212,552.00",171,9.00,12.00,0.00,2.34,0.43,0.00,0.00
6,HBL,-,"1,556.00","1,606.00","1,540.00","1,546.00","1,557.87","7,010.00","1,556.00","10,920,639.00",32,-10.00,66.00,0.00,4.29,-0.77,0.00,0.00
7,LBL,-,838.00,846.00,837.00,842.00,839.95,"5,171.00",838.00,"4,343,375.00",32,4.00,9.00,0.00,1.08,0.24,0.00,0.00
8,MEGA,-,566.00,568.00,550.00,559.00,561.19,"16,834.00",566.00,"9,447,076.00",87,-7.00,18.00,0.00,3.27,-0.39,0.00,0.00
9,NABIL,-,"2,380.00","2,399.00","2,370.00","2,375.00","2,382.88","7,384.00","2,380.00","17,595,184.00",49,-5.00,29.00,0.00,1.22,-0.33,0.00,0.00
10,NBB,-,859.00,865.00,856.00,860.00,859.82,"33,256.00",859.00,"28,594,190.00",118,1.00,9.00,0.00,1.05,0.02,0.00,0.00
11,NBL,-,472.00,475.00,465.00,470.00,469.82,"69,355.00",472.00,"32,584,468.00",102,-2.00,10.00,0.00,2.15,0.04,0.00,0.00
12,NIB,-,"1,050.00","1,060.00","1,048.00","1,048.00","1,054.44","13,016.00","1,050.00","13,724,652.00",72,-2.00,12.00,0.00,1.15,-0.61,0.00,0.00
13,NICA,-,794.00,805.00,793.00,799.00,796.74,"16,892.00",794.00,"13,458,610.00",77,5.00,12.00,0.00,1.51,0.28,0.00,0.00
14,NMB,-,792.00,807.00,795.00,801.00,801.22,"33,550.00",792.00,"26,880,838.00",126,9.00,12.00,0.00,1.51,-0.03,0.00,0.00
15,PCBL,-,747.00,753.00,745.00,753.00,750.20,"19,851.00",747.00,"14,892,319.00",92,6.00,8.00,0.00,1.07,0.37,0.00,0.00
16,SANIMA,-,740.00,750.00,737.00,738.00,740.46,"25,042.00",740.00,"18,542,560.00",105,-2.00,13.00,0.00,1.76,-0.33,0.00,0.00
17,SBI,-,"1,932.00","1,950.00","1,935.00","1,946.00","1,945.82","5,711.00","1,932.00","11,112,586.00",51,14.00,15.00,0.00,0.78,0.01,0.00,0.00
18,SCB,-,"3,583.00","3,610.00","3,562.00","3,580.00","3,589.47","3,470.00","3,583.00","12,455,475.00",32,-3.00,48.00,0.00,1.35,-0.26,0.00,0.00
19,SRBL,-,710.00,722.00,708.00,722.00,719.12,"29,435.00",710.00,"21,167,296.00",101,12.00,14.00,0.00,1.98,0.40,0.00,0.00
