S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,117.00,115.00,111.00,112.00,113.50,"1,650.00",117.00,"187,270.00",25,-5.00,4.00,0.00,3.60,-1.34,0.00,0.00
2,CZBIL,-,169.00,172.00,170.00,171.00,170.45,698.00,169.00,"118,977.00",11,2.00,2.00,0.00,1.18,0.32,0.00,0.00
3,EBL,-,685.00,685.00,670.00,670.00,674.03,"3,838.00",685.00,"2,586,940.00",39,-15.00,15.00,0.00,2.24,-0.60,0.00,0.00
4,HBL,-,475.00,466.00,452.00,461.00,452.43,"1,262.00",475.00,"570,961.00",6,-14.00,14.00,0.00,3.10,1.86,0.00,0.00
5,KBL,-,200.00,199.00,195.00,199.00,196.77,610.00,200.00,"120,030.00",5,-1.00,4.00,0.00,2.05,1.12,0.00,0.00
6,LBL,-,230.00,232.00,230.00,230.00,231.00,240.00,230.00,"55,440.00",2,0.00,2.00,0.00,0.87,-0.43,0.00,0.00
7,NABIL,-,836.00,843.00,826.00,835.00,830.26,"1,255.00",836.00,"1,041,972.00",14,-1.00,17.00,0.00,2.06,0.57,0.00,0.00
8,NBB,-,130.00,132.00,132.00,132.00,132.00,40.00,130.00,"5,280.00",2,2.00,0.00,0.00,0.00,0.00,0.00,0.00
9,NIB,-,400.00,398.00,398.00,398.00,398.00,103.00,400.00,"40,994.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
10,NMB,-,153.00,161.00,154.00,161.00,154.98,"1,628.00",153.00,"252,304.00",7,8.00,7.00,0.00,4.55,3.74,0.00,0.00
11,PCBL,-,184.00,186.00,181.00,184.00,182.84,"2,453.00",184.00,"448,506.00",29,0.00,5.00,0.00,2.76,0.63,0.00,0.00
12,SBI,-,445.00,440.00,440.00,440.00,440.00,109.00,445.00,"47,960.00",1,-5.00,0.00,0.00,0.00,0.00,0.00,0.00
13,SBL,-,232.00,228.00,210.00,213.00,215.78,"3,035.00",232.00,"654,899.00",16,-19.00,18.00,0.00,8.57,-1.31,0.00,0.00
14,SCB,-,"1,340.00","1,350.00","1,320.00","1,330.00","1,329.64","1,716.00","1,340.00","2,281,659.00",22,-10.00,30.00,0.00,2.27,0.03,0.00,0.00
15,SRBL,-,128.00,129.00,127.00,129.00,128.02,161.00,128.00,"20,612.00",5,1.00,2.00,0.00,1.57,0.76,0.00,0.00
