S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,420.00,420.00,406.00,420.00,410.95,"8,930.00",420.00,"3,669,790.00",26,0.00,14.00,0.00,3.45,2.15,0.00,0.00
2,CBL,-,270.00,280.00,270.00,272.00,271.84,"19,542.00",270.00,"5,312,274.00",34,2.00,10.00,0.00,3.70,0.06,0.00,0.00
3,CCBL,-,316.00,321.00,315.00,318.00,317.07,"16,594.00",316.00,"5,261,393.00",57,2.00,6.00,0.00,1.90,0.29,0.00,0.00
4,CZBIL,-,451.00,460.00,447.00,453.00,454.03,"4,245.00",451.00,"1,927,338.00",21,2.00,13.00,0.00,2.91,-0.23,0.00,0.00
5,EBL,-,"2,080.00","2,121.00","2,084.00","2,100.00","2,097.78","5,042.00","2,080.00","10,577,017.00",28,20.00,37.00,0.00,1.78,0.11,0.00,0.00
6,GBIME,-,441.00,455.00,440.00,448.00,444.42,"10,424.00",441.00,"4,632,666.00",31,7.00,15.00,0.00,3.41,0.80,0.00,0.00
7,HBL,-,811.00,831.00,815.00,815.00,824.63,983.00,811.00,"810,613.00",8,4.00,16.00,0.00,1.96,-1.18,0.00,0.00
8,KBL,-,371.00,390.00,373.00,383.00,381.62,"11,944.00",371.00,"4,558,088.00",35,12.00,17.00,0.00,4.56,0.36,0.00,0.00
9,LBL,-,407.00,417.00,405.00,410.00,409.74,"2,386.00",407.00,"977,650.00",12,3.00,12.00,0.00,2.96,0.06,0.00,0.00
10,MBL,-,560.00,580.00,562.00,566.00,568.40,"8,927.00",560.00,"5,074,106.00",30,6.00,18.00,0.00,3.20,-0.42,0.00,0.00
11,NABIL,-,"1,900.00","1,920.00","1,890.00","1,905.00","1,901.80","3,878.00","1,900.00","7,375,169.00",22,5.00,30.00,0.00,1.59,0.17,0.00,0.00
12,NBB,-,515.00,530.00,507.00,517.00,516.43,"21,668.00",515.00,"11,190,064.00",62,2.00,23.00,0.00,4.54,0.11,0.00,0.00
13,NBL,-,282.00,291.00,280.00,284.00,285.69,"21,917.00",282.00,"6,261,505.00",25,2.00,11.00,0.00,3.93,-0.60,0.00,0.00
14,NCCB,-,600.00,611.00,600.00,604.00,601.99,"49,614.00",600.00,"29,867,216.00",143,4.00,11.00,0.00,1.83,0.33,0.00,0.00
15,NIB,-,717.00,730.00,709.00,714.00,712.77,"2,865.00",717.00,"2,042,075.00",13,-3.00,21.00,0.00,2.96,0.17,0.00,0.00
16,NICA,-,618.00,630.00,620.00,620.00,621.98,"6,289.00",618.00,"3,911,643.00",25,2.00,10.00,0.00,1.61,-0.32,0.00,0.00
17,PCBL,-,447.00,455.00,446.00,448.00,449.98,"4,809.00",447.00,"2,163,973.00",31,1.00,9.00,0.00,2.02,-0.44,0.00,0.00
18,PRVU,-,324.00,329.00,320.00,323.00,322.97,"24,960.00",324.00,"8,061,403.00",86,-1.00,9.00,0.00,2.81,0.01,0.00,0.00
19,SANIMA,-,564.00,574.00,560.00,563.00,563.73,"4,977.00",564.00,"2,805,675.00",19,-1.00,14.00,0.00,2.50,-0.13,0.00,0.00
20,SBI,-,891.00,908.00,895.00,896.00,899.31,"1,720.00",891.00,"1,546,805.00",11,5.00,13.00,0.00,1.45,-0.37,0.00,0.00
21,SBL,-,668.00,681.00,665.00,665.00,671.34,"3,244.00",668.00,"2,177,824.00",15,-3.00,16.00,0.00,2.41,-0.95,0.00,0.00
22,SCB,-,"1,900.00","1,915.00","1,890.00","1,915.00","1,905.89","1,501.00","1,900.00","2,860,747.00",16,15.00,25.00,0.00,1.32,0.48,0.00,0.00
23,SRBL,-,418.00,425.00,414.00,415.00,418.08,"5,685.00",418.00,"2,376,760.00",13,-3.00,11.00,0.00,2.66,-0.74,0.00,0.00
