S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,487.00,480.00,466.00,475.00,473.42,"3,920.00",487.00,"1,855,816.00",32,-12.00,14.00,0.00,3.00,0.33,0.00,0.00
2,CBL,-,264.00,275.00,259.00,265.00,266.10,"12,366.00",264.00,"3,290,566.00",38,1.00,16.00,0.00,6.18,-0.41,0.00,0.00
3,CCBL,-,289.00,290.00,278.00,287.00,287.68,"6,956.00",289.00,"2,001,112.00",134,-2.00,12.00,0.00,4.32,-0.24,0.00,0.00
4,CZBIL,-,428.00,431.00,412.00,430.00,427.17,"2,634.00",428.00,"1,125,154.00",26,2.00,19.00,0.00,4.61,0.66,0.00,0.00
5,EBL,-,"1,960.00","1,963.00","1,949.00","1,950.00","1,952.78","4,781.00","1,960.00","9,336,224.00",25,-10.00,14.00,0.00,0.72,-0.14,0.00,0.00
6,GBIME,-,502.00,505.00,487.00,503.00,499.80,"7,248.00",502.00,"3,622,540.00",39,1.00,18.00,0.00,3.70,0.64,0.00,0.00
7,HBL,-,815.00,816.00,800.00,805.00,806.10,"3,183.00",815.00,"2,565,803.00",13,-10.00,16.00,0.00,2.00,-0.14,0.00,0.00
8,KBL,-,388.00,383.00,375.00,378.00,379.11,"6,412.00",388.00,"2,430,839.00",19,-10.00,8.00,0.00,2.13,-0.29,0.00,0.00
9,LBL,-,480.00,500.00,480.00,490.00,485.20,"1,853.00",480.00,"899,079.00",9,10.00,20.00,0.00,4.17,0.98,0.00,0.00
10,MBL,-,560.00,556.00,548.00,550.00,551.09,"5,892.00",560.00,"3,247,019.00",12,-10.00,8.00,0.00,1.46,-0.20,0.00,0.00
11,MEGA,-,381.00,382.00,370.00,370.00,374.07,698.00,381.00,"261,102.00",12,-11.00,12.00,0.00,3.24,-1.10,0.00,0.00
12,NABIL,-,"1,886.00","1,862.00","1,852.00","1,852.00","1,854.37",421.00,"1,886.00","780,690.00",5,-34.00,10.00,0.00,0.54,-0.13,0.00,0.00
13,NBB,-,453.00,469.00,445.00,458.00,448.77,"21,491.00",453.00,"9,644,564.00",33,5.00,24.00,0.00,5.39,2.01,0.00,0.00
14,NBL,-,350.00,346.00,341.00,342.00,343.38,"14,720.00",350.00,"5,054,512.00",31,-8.00,5.00,0.00,1.47,-0.40,0.00,0.00
15,NCCB,-,585.00,575.00,570.00,570.00,573.98,"5,054.00",585.00,"2,900,885.00",5,-15.00,5.00,0.00,0.88,-0.70,0.00,0.00
16,NIB,-,734.00,740.00,726.00,735.00,732.22,"3,801.00",734.00,"2,783,175.00",14,1.00,14.00,0.00,1.93,0.38,0.00,0.00
17,NICA,-,667.00,670.00,661.00,661.00,663.71,"4,534.00",667.00,"3,009,263.00",30,-6.00,9.00,0.00,1.36,-0.41,0.00,0.00
18,PCBL,-,441.00,447.00,434.00,443.00,440.17,"5,515.00",441.00,"2,427,558.00",26,2.00,13.00,0.00,3.00,0.64,0.00,0.00
19,PRVU,-,249.00,273.00,253.00,273.00,269.51,"170,924.00",249.00,"46,064,996.00",160,24.00,20.00,0.00,7.91,1.28,0.00,0.00
20,SANIMA,-,539.00,544.00,537.00,539.00,540.38,"13,664.00",539.00,"7,383,809.00",40,0.00,7.00,0.00,1.30,-0.26,0.00,0.00
21,SBI,-,951.00,955.00,945.00,950.00,949.76,"3,244.00",951.00,"3,081,019.00",9,-1.00,10.00,0.00,1.06,0.03,0.00,0.00
22,SBL,-,655.00,665.00,644.00,658.00,658.60,"3,423.00",655.00,"2,254,398.00",21,3.00,21.00,0.00,3.26,-0.09,0.00,0.00
23,SCB,-,"1,949.00","1,950.00","1,900.00","1,903.00","1,923.21","1,312.00","1,949.00","2,523,257.00",7,-46.00,50.00,0.00,2.63,-1.06,0.00,0.00
24,SRBL,-,407.00,413.00,400.00,412.00,408.73,"11,653.00",407.00,"4,762,971.00",51,5.00,13.00,0.00,3.25,0.79,0.00,0.00
