S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,452.00,461.00,451.00,455.00,454.41,"1,170.00",452.00,"531,661.00",14,3.00,10.00,0.00,2.22,0.13,0.00,0.00
2,CBL,-,250.00,251.00,248.00,250.00,249.86,"12,086.00",250.00,"3,019,761.00",31,0.00,3.00,0.00,1.21,0.06,0.00,0.00
3,CCBL,-,294.00,290.00,285.00,290.00,288.22,"1,175.00",294.00,"338,656.00",11,-4.00,5.00,0.00,1.75,0.61,0.00,0.00
4,CZBIL,-,540.00,550.00,535.00,540.00,540.95,"15,817.00",540.00,"8,556,214.00",49,0.00,15.00,0.00,2.80,-0.18,0.00,0.00
5,EBL,-,"2,584.00","2,650.00","2,533.00","2,572.00","2,590.30","5,097.00","2,584.00","13,202,749.00",46,-12.00,117.00,0.00,4.62,-0.71,0.00,0.00
6,GBIME,-,385.00,386.00,378.00,383.00,381.35,"8,941.00",385.00,"3,409,661.00",43,-2.00,8.00,0.00,2.12,0.43,0.00,0.00
7,HBL,-,"1,272.00","1,266.00","1,250.00","1,260.00","1,251.57","8,330.00","1,272.00","10,425,570.00",13,-12.00,16.00,0.00,1.28,0.67,0.00,0.00
8,KBL,-,390.00,390.00,385.00,390.00,387.70,"7,099.00",390.00,"2,752,260.00",19,0.00,5.00,0.00,1.30,0.59,0.00,0.00
9,LBL,-,463.00,463.00,452.00,460.00,455.69,"1,512.00",463.00,"689,006.00",8,-3.00,11.00,0.00,2.43,0.94,0.00,0.00
10,NABIL,-,"2,210.00","2,210.00","2,170.00","2,180.00","2,191.17","3,418.00","2,210.00","7,489,420.00",35,-30.00,40.00,0.00,1.84,-0.51,0.00,0.00
11,NBB,-,445.00,440.00,436.00,437.00,437.34,"3,204.00",445.00,"1,401,247.00",14,-8.00,4.00,0.00,0.92,-0.08,0.00,0.00
12,NBL,-,263.00,269.00,262.00,269.00,264.67,"15,146.00",263.00,"4,008,625.00",22,6.00,7.00,0.00,2.67,1.61,0.00,0.00
13,NCCB,-,385.00,386.00,371.00,386.00,374.42,"3,458.00",385.00,"1,294,754.00",15,1.00,15.00,0.00,4.04,3.00,0.00,0.00
14,NIB,-,674.00,680.00,672.00,678.00,675.39,"1,161.00",674.00,"784,125.00",9,4.00,8.00,0.00,1.19,0.39,0.00,0.00
15,NICA,-,840.00,835.00,824.00,835.00,830.68,"13,585.00",840.00,"11,284,800.00",41,-5.00,11.00,0.00,1.33,0.52,0.00,0.00
16,NMB,-,460.00,453.00,440.00,444.00,442.09,"28,692.00",460.00,"12,684,568.00",49,-16.00,13.00,0.00,2.95,0.43,0.00,0.00
17,PCBL,-,562.00,565.00,555.00,562.00,561.08,"6,809.00",562.00,"3,820,384.00",26,0.00,10.00,0.00,1.80,0.16,0.00,0.00
18,SANIMA,-,630.00,642.00,630.00,635.00,636.32,"4,997.00",630.00,"3,179,713.00",25,5.00,12.00,0.00,1.90,-0.21,0.00,0.00
19,SBI,-,"1,301.00","1,302.00","1,283.00","1,300.00","1,296.16","5,684.00","1,301.00","7,367,359.00",19,-1.00,19.00,0.00,1.48,0.30,0.00,0.00
20,SBL,-,661.00,674.00,662.00,662.00,668.29,"1,328.00",661.00,"887,489.00",8,1.00,12.00,0.00,1.81,-0.95,0.00,0.00
21,SCB,-,"2,450.00","2,515.00","2,450.00","2,500.00","2,492.23",323.00,"2,450.00","804,990.00",4,50.00,65.00,0.00,2.65,0.31,0.00,0.00
22,SRBL,-,377.00,380.00,370.00,370.00,374.90,"1,090.00",377.00,"408,644.00",10,-7.00,10.00,0.00,2.70,-1.33,0.00,0.00
