S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,124.00,124.00,122.00,122.00,123.52,"3,265.00",124.00,"403,300.00",37,-2.00,2.00,0.00,1.64,-1.25,0.00,0.00
2,CZBIL,-,186.00,184.00,181.00,181.00,183.05,210.00,186.00,"38,440.00",3,-5.00,3.00,0.00,1.66,-1.13,0.00,0.00
3,EBL,-,975.00,975.00,956.00,956.00,971.83,120.00,975.00,"116,620.00",2,-19.00,19.00,0.00,1.99,-1.66,0.00,0.00
4,HBL,-,490.00,499.00,498.00,499.00,498.52,104.00,490.00,"51,846.00",2,9.00,1.00,0.00,0.20,0.10,0.00,0.00
5,KBL,-,279.00,274.00,274.00,274.00,274.00,34.00,279.00,"9,316.00",1,-5.00,0.00,0.00,0.00,0.00,0.00,0.00
6,LBL,-,464.00,455.00,455.00,455.00,455.00,10.00,464.00,"4,550.00",1,-9.00,0.00,0.00,0.00,0.00,0.00,0.00
7,NABIL,-,"1,075.00","1,078.00","1,045.00","1,078.00","1,054.99",381.00,"1,075.00","401,951.00",6,3.00,33.00,0.00,3.16,2.13,0.00,0.00
8,NMB,-,211.00,210.00,206.00,206.00,206.53,837.00,211.00,"172,863.00",5,-5.00,4.00,0.00,1.94,-0.26,0.00,0.00
9,PCBL,-,200.00,203.00,196.00,196.00,199.23,598.00,200.00,"119,138.00",9,-4.00,7.00,0.00,3.57,-1.65,0.00,0.00
10,SBI,-,509.00,500.00,485.00,485.00,491.23,581.00,509.00,"285,405.00",4,-24.00,15.00,0.00,3.09,-1.28,0.00,0.00
11,SCB,-,"1,600.00","1,581.00","1,550.00","1,575.00","1,571.29",170.00,"1,600.00","267,120.00",5,-25.00,31.00,0.00,2.00,0.24,0.00,0.00
12,SRBL,-,134.00,136.00,134.00,134.00,135.08,36.00,134.00,"4,863.00",3,0.00,2.00,0.00,1.49,-0.81,0.00,0.00
