S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,54.00,415.00,416.00,413.00,416.00,414.03,"12,478.00",413.00,"5,166,249.00",55,3.00,3.00,0.73,0.73,0.47,451.00,290.00
2,BOKL,46.11,226.00,227.00,225.00,226.00,226.00,"9,455.00",226.00,"2,136,790.00",27,0.00,2.00,0.00,0.89,0.00,345.00,222.00
3,CBL,36.10,142.00,143.00,141.00,142.00,141.47,"11,338.00",143.00,"1,603,933.00",44,-1.00,2.00,-0.70,1.42,0.38,175.00,139.00
4,CCBL,43.62,158.00,159.00,156.00,158.00,157.62,"9,717.00",158.00,"1,531,635.00",34,0.00,3.00,0.00,1.92,0.24,192.00,150.00
5,CZBIL,45.69,192.00,194.00,190.00,192.00,191.28,"9,041.00",191.00,"1,729,376.00",29,1.00,4.00,0.52,2.11,0.37,244.00,190.00
6,EBL,53.51,557.00,560.00,535.00,557.00,549.87,"26,636.00",557.00,"14,646,435.00",63,0.00,25.00,0.00,4.67,1.28,707.00,501.00
7,HBL,41.82,491.00,497.00,491.00,492.00,493.41,"11,102.00",494.00,"5,477,874.00",23,-2.00,6.00,-0.40,1.22,-0.29,644.00,418.00
8,KBL,34.48,182.00,184.00,181.00,182.00,181.75,"7,416.00",182.00,"1,347,873.00",33,0.00,3.00,0.00,1.66,0.14,269.00,174.00
9,LBL,41.46,220.00,222.00,219.00,220.00,219.84,"10,222.00",220.00,"2,247,202.00",52,0.00,3.00,0.00,1.37,0.07,245.00,182.00
10,MBL,41.05,226.00,231.00,226.00,229.00,228.12,"4,258.00",228.00,"971,356.00",21,1.00,5.00,0.44,2.21,0.38,295.00,202.00
11,MEGA,35.77,190.00,190.00,187.00,187.00,188.41,"20,095.00",189.00,"3,786,150.00",70,-2.00,3.00,-1.06,1.60,-0.76,222.00,155.00
12,NABIL,47.53,775.00,777.00,763.00,770.00,770.86,"16,182.00",768.00,"12,474,125.00",147,2.00,14.00,0.26,1.83,-0.11,946.00,678.00
13,NBB,36.67,207.00,207.00,205.00,206.00,206.01,"11,853.00",207.00,"2,441,887.00",56,-1.00,2.00,-0.48,0.98,-0.01,242.00,178.00
14,NBL,36.01,315.00,316.00,314.00,315.00,315.20,"16,092.00",315.00,"5,072,240.00",70,0.00,2.00,0.00,0.64,-0.06,355.00,281.00
15,NCCB,49.88,202.00,207.00,200.00,206.00,204.33,"32,685.00",201.00,"6,678,677.00",103,5.00,7.00,2.49,3.50,0.81,276.00,191.00
16,NIB,38.34,442.00,445.00,440.00,444.00,444.16,"7,038.00",442.00,"3,125,998.00",50,2.00,5.00,0.45,1.14,-0.04,684.00,428.00
17,NICA,35.98,400.00,401.00,397.00,397.00,398.78,"13,299.00",400.00,"5,303,364.00",49,-3.00,4.00,-0.75,1.01,-0.45,515.00,351.00
18,PCBL,41.29,263.00,264.00,260.00,260.00,261.53,"23,706.00",261.00,"6,199,844.00",57,-1.00,4.00,-0.38,1.54,-0.59,397.00,256.00
19,PRVU,41.42,269.00,269.00,266.00,267.00,267.33,"58,526.00",268.00,"15,645,775.00",175,-1.00,3.00,-0.37,1.13,-0.12,304.00,205.00
20,SANIMA,47.50,305.00,306.00,304.00,304.00,304.70,"22,963.00",305.00,"6,996,764.00",49,-1.00,2.00,-0.33,0.66,-0.23,371.00,286.00
21,SBI,41.21,405.00,406.00,405.00,405.00,405.63,995.00,405.00,"403,599.00",13,0.00,1.00,0.00,0.25,-0.15,530.00,366.00
22,SBL,37.89,292.00,292.00,289.00,289.00,289.87,"12,688.00",291.00,"3,677,922.00",57,-2.00,3.00,-0.69,1.04,-0.30,361.00,272.00
23,SCB,29.89,558.00,563.00,555.00,563.00,558.77,"3,212.00",558.00,"1,794,765.00",35,5.00,8.00,0.90,1.44,0.75,755.00,520.00
24,SRBL,38.46,210.00,212.00,208.00,208.00,209.58,"8,243.00",209.00,"1,727,563.00",23,-1.00,4.00,-0.48,1.92,-0.76,277.00,203.00
