S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,46.26,530.00,530.00,515.00,518.00,519.89,"87,068.00",527.00,"45,265,722.00",445,-9.00,15.00,-1.71,2.91,-0.36,576.00,313.00
2,BOKL,46.91,252.00,256.00,251.00,251.00,252.96,"82,743.00",252.00,"20,930,424.00",227,-1.00,5.00,-0.40,1.99,-0.78,301.00,196.00
3,CBL,45.02,176.00,183.00,176.00,178.00,179.19,"99,789.00",178.00,"17,881,654.00",255,0.00,7.00,0.00,3.98,-0.67,203.00,125.00
4,CCBL,46.23,206.00,207.00,201.00,205.00,205.34,"157,504.00",206.00,"32,341,865.00",315,-1.00,6.00,-0.49,2.99,-0.17,242.00,136.00
5,CZBIL,55.97,238.00,242.00,235.00,238.00,238.99,"142,385.00",237.00,"34,027,979.00",377,1.00,7.00,0.42,2.98,-0.41,278.00,164.00
6,EBL,50.86,700.00,710.00,698.00,706.00,705.36,"66,712.00",704.00,"47,055,744.00",301,2.00,12.00,0.28,1.72,0.09,932.00,517.00
7,GBIME,50.49,342.00,344.00,338.00,339.00,339.95,"159,315.00",342.00,"54,159,039.00",657,-3.00,6.00,-0.88,1.78,-0.28,383.00,211.00
8,HBL,44.57,635.00,645.00,632.00,640.00,637.26,"21,347.00",640.00,"13,603,491.00",159,0.00,13.00,0.00,2.06,0.43,749.00,452.00
9,KBL,44.54,242.00,242.00,235.00,236.00,238.67,"151,499.00",238.00,"36,158,381.00",429,-2.00,7.00,-0.84,2.98,-1.13,303.00,153.00
10,LBL,45.72,281.00,283.00,278.00,279.00,280.65,"60,167.00",281.00,"16,885,590.00",191,-2.00,5.00,-0.71,1.80,-0.59,325.00,184.00
11,MBL,55.40,251.00,255.00,246.00,247.00,251.35,"150,541.00",253.00,"37,838,826.00",228,-6.00,9.00,-2.37,3.66,-1.76,295.00,199.00
12,MEGA,57.78,270.00,283.00,270.00,276.00,278.14,"596,733.00",268.00,"165,972,958.00","1,587",8.00,13.00,2.99,4.81,-0.77,312.00,181.00
13,NABIL,52.93,"1,250.00","1,255.00","1,228.00","1,235.00","1,238.66","101,916.00","1,248.00","126,238,866.00",714,-13.00,27.00,-1.04,2.20,-0.30,"1,293.00",594.00
14,NBB,44.42,286.00,286.00,267.00,269.00,270.34,"114,652.00",273.00,"30,995,579.00",327,-4.00,19.00,-1.47,7.12,-0.50,330.00,169.00
15,NBL,51.26,410.00,410.00,387.00,390.00,393.94,"961,477.00",416.00,"378,765,743.00","2,439",-26.00,23.00,-6.25,5.94,-1.01,427.00,214.00
16,NCCB,56.49,330.00,330.00,310.00,312.00,319.08,"395,858.00",325.00,"126,312,313.00","1,006",-13.00,20.00,-4.00,6.45,-2.27,330.00,163.00
17,NIB,55.00,520.00,523.00,501.00,509.00,510.19,"97,114.00",521.00,"49,546,209.00",616,-12.00,22.00,-2.30,4.39,-0.23,557.00,335.00
18,NICA,67.27,665.00,699.00,665.00,690.00,682.94,"349,388.00",669.00,"238,611,164.00","1,332",21.00,34.00,3.14,5.11,1.02,720.00,405.00
19,NMB,49.01,479.00,479.00,450.00,452.00,453.83,"145,867.00",457.00,"66,199,339.00",685,-5.00,29.00,-1.09,6.44,-0.41,517.00,321.00
20,PCBL,51.32,410.00,415.00,401.00,407.00,409.59,"162,011.00",412.00,"66,358,088.00",517,-5.00,14.00,-1.21,3.49,-0.64,436.00,219.19
21,PRVU,47.53,352.00,360.00,346.00,347.00,353.34,"186,062.00",355.00,"65,743,016.00",608,-8.00,14.00,-2.25,4.05,-1.83,400.00,195.00
22,SANIMA,47.15,319.00,319.00,314.00,316.00,315.69,"86,095.00",315.00,"27,179,217.00",257,1.00,5.00,0.32,1.59,0.10,437.00,287.00
23,SBI,53.54,428.00,428.00,420.00,422.00,423.27,"27,475.00",423.00,"11,629,463.00",110,-1.00,8.00,-0.24,1.90,-0.30,583.00,346.00
24,SBL,48.29,385.00,385.00,364.00,365.00,366.81,"83,107.00",367.00,"30,484,704.00",292,-2.00,21.00,-0.54,5.77,-0.50,408.00,252.00
25,SCB,50.40,672.00,672.00,655.00,662.00,662.34,"44,307.00",661.00,"29,346,227.00",338,1.00,17.00,0.15,2.60,-0.05,850.00,505.00
26,SRBL,56.54,262.00,268.00,258.00,262.00,263.57,"130,403.00",262.00,"34,370,107.00",252,0.00,10.00,0.00,3.88,-0.60,316.00,201.00
