S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,54.99,464.00,476.00,462.00,470.00,467.99,"102,758.00",464.00,"48,089,830.00",303,6.00,14.00,1.29,3.03,0.43,483.00,313.00
2,BOKL,58.38,282.00,288.00,280.00,287.00,285.18,"127,669.00",281.00,"36,408,760.00",467,6.00,8.00,2.14,2.86,0.63,296.00,196.00
3,CBL,52.30,172.00,174.00,171.00,173.00,171.62,"80,281.00",172.00,"13,777,708.00",186,1.00,3.00,0.58,1.75,0.80,188.00,125.00
4,CCBL,49.66,196.00,197.00,192.00,193.00,193.79,"72,698.00",194.00,"14,087,935.00",253,-1.00,5.00,-0.52,2.60,-0.41,210.00,136.00
5,CZBIL,53.23,236.00,236.00,232.00,232.00,233.54,"88,066.00",233.00,"20,567,293.00",365,-1.00,4.00,-0.43,1.72,-0.67,253.00,164.00
6,EBL,55.70,700.00,700.00,674.00,675.00,682.75,"240,946.00",717.00,"164,505,387.00","1,869",-42.00,26.00,-5.86,3.86,-1.15,932.00,517.00
7,GBIME,49.45,294.00,295.00,291.00,292.00,292.42,"140,170.00",293.00,"40,988,852.00",587,-1.00,4.00,-0.34,1.37,-0.14,331.00,144.48
8,HBL,48.01,600.00,600.00,580.00,583.00,583.34,"7,476.00",589.00,"4,361,025.00",63,-6.00,20.00,-1.02,3.45,-0.06,735.00,452.00
9,KBL,47.07,237.00,238.00,233.00,234.00,234.11,"115,508.00",235.00,"27,041,385.00",361,-1.00,5.00,-0.43,2.15,-0.05,250.00,153.00
10,LBL,52.26,271.00,274.00,270.00,271.00,270.89,"36,601.00",270.00,"9,914,981.00",132,1.00,4.00,0.37,1.48,0.04,299.00,184.00
11,MBL,54.36,232.00,232.00,227.00,229.00,228.55,"22,867.00",229.00,"5,226,300.00",100,0.00,5.00,0.00,2.20,0.20,295.00,199.00
12,MEGA,51.83,240.00,240.00,235.00,236.00,236.48,"151,202.00",237.00,"35,756,429.00",334,-1.00,5.00,-0.42,2.13,-0.20,279.00,177.00
13,NABIL,51.58,890.00,890.00,875.00,880.00,880.25,"34,927.00",888.00,"30,744,588.00",322,-8.00,15.00,-0.90,1.71,-0.03,"1,000.00",594.00
14,NBB,44.54,238.00,238.00,225.00,227.00,226.33,"58,083.00",227.00,"13,146,078.00",202,0.00,13.00,0.00,5.78,0.29,270.00,169.00
15,NBL,56.02,337.00,337.00,333.00,335.00,335.27,"103,740.00",337.00,"34,781,011.00",302,-2.00,4.00,-0.59,1.20,-0.08,356.00,214.00
16,NCCB,47.70,231.00,234.00,230.00,232.00,231.99,"59,937.00",232.00,"13,905,084.00",188,0.00,4.00,0.00,1.74,0.00,246.00,163.00
17,NIB,49.89,425.00,427.00,424.00,425.00,425.14,"30,102.00",428.00,"12,797,661.00",210,-3.00,3.00,-0.70,0.71,-0.03,532.00,335.00
18,NICA,52.43,620.00,621.00,616.00,618.00,617.75,"86,880.00",619.00,"53,670,034.00",301,-1.00,5.00,-0.16,0.81,0.04,680.00,396.00
19,NMB,47.58,421.00,424.00,420.00,421.00,420.97,"59,701.00",421.00,"25,132,344.00",322,0.00,4.00,0.00,0.95,0.01,517.00,321.00
20,PCBL,66.24,360.00,363.00,350.00,351.00,353.49,"589,728.00",346.00,"208,460,859.00","1,699",5.00,13.00,1.45,3.71,-0.71,363.00,219.19
21,PRVU,62.68,270.00,270.00,262.00,266.00,264.08,"279,158.00",263.00,"73,720,578.00",657,3.00,8.00,1.14,3.05,0.72,292.00,195.00
22,SANIMA,50.50,333.00,333.00,312.00,313.00,314.00,"66,297.00",318.00,"20,817,441.00",374,-5.00,21.00,-1.57,6.73,-0.32,437.00,287.00
23,SBI,50.18,431.00,431.00,424.00,426.00,425.38,"17,071.00",431.00,"7,261,619.00",101,-5.00,7.00,-1.16,1.65,0.15,583.00,344.00
24,SBL,48.39,340.00,343.00,335.00,335.00,336.49,"41,507.00",337.00,"13,966,558.00",183,-2.00,8.00,-0.59,2.39,-0.44,393.00,252.00
25,SCB,54.87,645.00,645.00,635.00,636.00,637.60,"44,695.00",646.00,"28,497,740.00",427,-10.00,10.00,-1.55,1.57,-0.25,850.00,505.00
26,SRBL,44.41,260.00,260.00,257.00,258.00,257.98,"35,120.00",260.00,"9,060,315.00",135,-2.00,3.00,-0.77,1.17,0.01,316.00,201.00
