S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,500.00,511.00,492.00,500.00,504.19,"4,489.00",500.00,"2,263,296.00",19,0.00,19.00,0.00,3.86,-0.84,0.00,0.00
2,CBL,-,289.00,298.00,288.00,292.00,290.27,"26,487.00",289.00,"7,688,486.00",41,3.00,10.00,0.00,3.47,0.59,0.00,0.00
3,CCBL,-,390.00,397.00,390.00,392.00,392.27,"6,928.00",390.00,"2,717,637.00",36,2.00,7.00,0.00,1.79,-0.07,0.00,0.00
4,CZBIL,-,685.00,694.00,685.00,690.00,688.29,"17,495.00",685.00,"12,041,587.00",53,5.00,9.00,0.00,1.31,0.25,0.00,0.00
5,EBL,-,"3,205.00","3,300.00","3,250.00","3,265.00","3,267.57","5,347.00","3,205.00","17,471,700.00",38,60.00,50.00,0.00,1.54,-0.08,0.00,0.00
6,GBIME,-,539.00,559.00,535.00,542.00,543.61,"21,928.00",539.00,"11,920,283.00",70,3.00,24.00,0.00,4.49,-0.30,0.00,0.00
7,HBL,-,"1,402.00","1,480.00","1,398.00","1,408.00","1,421.11","10,694.00","1,402.00","15,197,329.00",80,6.00,82.00,0.00,5.87,-0.93,0.00,0.00
8,KBL,-,467.00,483.00,465.00,480.00,474.75,"56,252.00",467.00,"26,705,568.00",140,13.00,18.00,0.00,3.87,1.09,0.00,0.00
9,LBL,-,475.00,483.00,476.00,479.00,479.29,"5,079.00",475.00,"2,434,338.00",21,4.00,7.00,0.00,1.47,-0.06,0.00,0.00
10,MBL,-,565.00,587.00,565.00,572.00,571.86,"9,774.00",565.00,"5,589,392.00",32,7.00,22.00,0.00,3.89,0.02,0.00,0.00
11,NABIL,-,"2,505.00","2,630.00","2,555.00","2,578.00","2,590.32","5,240.00","2,505.00","13,573,291.00",55,73.00,75.00,0.00,2.94,-0.48,0.00,0.00
12,NBB,-,662.00,680.00,661.00,667.00,667.36,"27,154.00",662.00,"18,121,478.00",74,5.00,19.00,0.00,2.87,-0.05,0.00,0.00
13,NBL,-,282.00,290.00,268.00,285.00,271.27,"129,389.00",282.00,"35,099,940.00",31,3.00,22.00,0.00,8.21,4.82,0.00,0.00
14,NCCB,-,454.00,467.00,450.00,453.00,454.25,"10,357.00",454.00,"4,704,697.00",33,-1.00,17.00,0.00,3.78,-0.28,0.00,0.00
15,NIB,-,"1,058.00","1,080.00","1,062.00","1,079.00","1,069.70","18,255.00","1,058.00","19,527,412.00",87,21.00,18.00,0.00,1.69,0.86,0.00,0.00
16,NICA,-,944.00,969.00,947.00,953.00,954.18,"41,773.00",944.00,"39,859,044.00",109,9.00,22.00,0.00,2.32,-0.12,0.00,0.00
17,PCBL,-,605.00,616.00,606.00,615.00,612.31,"28,712.00",605.00,"17,580,636.00",96,10.00,10.00,0.00,1.65,0.44,0.00,0.00
18,PRVU,-,425.00,447.00,425.00,428.00,430.41,"30,202.00",425.00,"12,999,099.00",91,3.00,22.00,0.00,5.18,-0.56,0.00,0.00
19,SANIMA,-,804.00,825.00,800.00,810.00,811.43,"12,996.00",804.00,"10,545,367.00",35,6.00,25.00,0.00,3.13,-0.18,0.00,0.00
20,SBI,-,"1,555.00","1,580.00","1,549.00","1,550.00","1,556.49","3,682.00","1,555.00","5,731,006.00",22,-5.00,31.00,0.00,2.00,-0.42,0.00,0.00
21,SBL,-,812.00,830.00,814.00,823.00,820.01,"10,736.00",812.00,"8,803,633.00",46,11.00,16.00,0.00,1.97,0.36,0.00,0.00
22,SCB,-,"2,798.00","2,880.00","2,800.00","2,850.00","2,846.79","2,703.00","2,798.00","7,694,861.00",19,52.00,80.00,0.00,2.86,0.11,0.00,0.00
23,SRBL,-,515.00,535.00,513.00,515.00,516.73,"6,493.00",515.00,"3,355,153.00",20,0.00,22.00,0.00,4.29,-0.34,0.00,0.00
