S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,139.00,145.00,138.00,139.00,140.19,"3,222.00",139.00,"451,680.00",40,0.00,7.00,0.00,5.07,-0.85,0.00,0.00
2,CZBIL,-,266.00,273.00,252.00,270.00,262.48,"4,485.00",266.00,"1,177,215.00",26,4.00,21.00,0.00,8.33,2.79,0.00,0.00
3,EBL,-,"1,060.00","1,085.00","1,035.00","1,084.00","1,061.85","7,022.00","1,060.00","7,456,335.00",55,24.00,50.00,0.00,4.83,2.04,0.00,0.00
4,HBL,-,695.00,711.00,695.00,708.00,702.08,"1,844.00",695.00,"1,294,629.00",15,13.00,16.00,0.00,2.30,0.84,0.00,0.00
5,KBL,-,271.00,283.00,263.00,276.00,275.01,"4,919.00",271.00,"1,352,798.00",35,5.00,20.00,0.00,7.60,0.36,0.00,0.00
6,LBL,-,368.00,387.00,363.00,380.00,372.15,"3,694.00",368.00,"1,374,723.00",33,12.00,24.00,0.00,6.61,2.07,0.00,0.00
7,NABIL,-,"1,450.00","1,460.00","1,400.00","1,445.00","1,425.07","3,948.00","1,450.00","5,626,194.00",36,-5.00,60.00,0.00,4.29,1.38,0.00,0.00
8,NBB,-,142.00,144.00,138.00,144.00,141.54,"10,090.00",142.00,"1,428,155.00",45,2.00,6.00,0.00,4.35,1.71,0.00,0.00
9,NCCB,-,140.00,138.00,133.00,133.00,134.40,"3,120.00",140.00,"419,340.00",15,-7.00,5.00,0.00,3.76,-1.06,0.00,0.00
10,NIB,-,560.00,586.00,545.00,571.00,566.44,"4,919.00",560.00,"2,786,325.00",33,11.00,41.00,0.00,7.52,0.80,0.00,0.00
11,NMB,-,235.00,243.00,228.00,235.00,235.44,"5,557.00",235.00,"1,308,345.00",32,0.00,15.00,0.00,6.58,-0.19,0.00,0.00
12,PCBL,-,267.00,281.00,259.00,274.00,271.32,"11,633.00",267.00,"3,156,322.00",71,7.00,22.00,0.00,8.49,0.98,0.00,0.00
13,SANIMA,-,264.00,276.00,249.00,268.00,266.63,"16,475.00",264.00,"4,392,724.00",59,4.00,27.00,0.00,10.84,0.51,0.00,0.00
14,SBI,-,658.00,685.00,642.00,679.00,660.32,"6,153.00",658.00,"4,062,926.00",31,21.00,43.00,0.00,6.70,2.75,0.00,0.00
15,SBL,-,365.00,380.00,357.00,370.00,367.94,"5,306.00",365.00,"1,952,296.00",46,5.00,23.00,0.00,6.44,0.56,0.00,0.00
16,SCB,-,"1,995.00","2,058.00","2,000.00","2,010.00","2,020.48","1,681.00","1,995.00","3,396,420.00",23,15.00,58.00,0.00,2.90,-0.52,0.00,0.00
17,SRBL,-,170.00,173.00,161.00,173.00,168.41,"5,609.00",170.00,"944,588.00",47,3.00,12.00,0.00,7.45,2.66,0.00,0.00
