S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,127.00,127.00,124.00,126.00,125.90,"2,484.00",127.00,"312,736.00",49,-1.00,3.00,0.00,2.42,0.08,0.00,0.00
2,CZBIL,-,167.00,170.00,168.00,170.00,169.07,300.00,167.00,"50,720.00",4,3.00,2.00,0.00,1.19,0.55,0.00,0.00
3,EBL,-,"1,029.00","1,009.00",927.00,950.00,944.56,428.00,"1,029.00","404,272.00",11,-79.00,82.00,0.00,8.85,0.57,0.00,0.00
4,LBL,-,446.00,438.00,415.00,421.00,424.52,58.00,446.00,"24,622.00",5,-25.00,23.00,0.00,5.54,-0.84,0.00,0.00
5,MBL,-,118.00,120.00,120.00,120.00,120.00,91.00,118.00,"10,920.00",1,2.00,0.00,0.00,0.00,0.00,0.00,0.00
6,NABIL,-,"1,045.00","1,039.00","1,010.00","1,019.00","1,016.45",596.00,"1,045.00","605,805.00",8,-26.00,29.00,0.00,2.87,0.25,0.00,0.00
7,NBB,-,187.00,184.00,184.00,184.00,184.00,10.00,187.00,"1,840.00",1,-3.00,0.00,0.00,0.00,0.00,0.00,0.00
8,NCCB,-,198.00,189.00,189.00,189.00,189.00,"2,710.00",198.00,"512,190.00",1,-9.00,0.00,0.00,0.00,0.00,0.00,0.00
9,NIB,-,507.00,510.00,500.00,500.00,500.54,"1,256.00",507.00,"628,680.00",10,-7.00,10.00,0.00,2.00,-0.11,0.00,0.00
10,PCBL,-,177.00,184.00,180.00,184.00,182.43,108.00,177.00,"19,702.00",4,7.00,4.00,0.00,2.22,0.86,0.00,0.00
11,SBI,-,486.00,495.00,486.00,495.00,494.53,211.00,486.00,"104,346.00",2,9.00,9.00,0.00,1.85,0.09,0.00,0.00
12,SBL,-,214.00,211.00,202.00,211.00,206.35,812.00,214.00,"167,559.00",10,-3.00,9.00,0.00,4.46,2.20,0.00,0.00
13,SCB,-,"1,555.00","1,560.00","1,540.00","1,540.00","1,546.23","1,867.00","1,555.00","2,886,818.00",35,-15.00,20.00,0.00,1.30,-0.40,0.00,0.00
14,SRBL,-,132.00,131.00,128.00,128.00,128.96,234.00,132.00,"30,177.00",6,-4.00,3.00,0.00,2.34,-0.75,0.00,0.00
