S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,332.00,335.00,329.00,330.00,331.30,"9,202.00",333.00,"3,048,582.00",57,-3.00,6.00,-0.90,1.82,-0.39,451.00,283.00
2,BOKL,-,302.00,309.00,302.00,302.00,304.16,"10,507.00",302.00,"3,195,823.00",42,0.00,7.00,0.00,2.32,-0.72,433.00,250.00
3,CBL,-,157.00,161.00,157.00,160.00,159.45,"33,645.00",157.00,"5,364,688.00",82,3.00,4.00,1.91,2.55,0.34,200.00,136.00
4,CCBL,-,171.00,175.00,168.00,171.00,172.09,"13,363.00",170.00,"2,299,642.00",66,1.00,7.00,0.59,4.17,-0.64,222.00,155.00
5,CZBIL,-,228.00,232.00,227.00,229.00,228.78,"10,414.00",228.00,"2,382,470.00",53,1.00,5.00,0.44,2.20,0.10,308.00,223.00
6,EBL,-,524.00,530.00,520.00,520.00,525.40,"9,469.00",526.00,"4,974,995.00",87,-6.00,10.00,-1.14,1.92,-1.04,"1,218.00",520.00
7,GBIME,-,308.00,309.00,304.00,307.00,306.29,"19,941.00",302.00,"6,107,772.00",74,5.00,5.00,1.66,1.64,0.23,344.00,275.00
8,HBL,-,499.00,500.00,486.00,486.00,487.68,"5,300.00",490.00,"2,584,680.00",17,-4.00,14.00,-0.82,2.88,-0.34,880.00,486.00
9,KBL,-,245.00,251.00,242.00,246.00,247.05,"47,852.00",243.00,"11,821,639.00",163,3.00,9.00,1.23,3.72,-0.43,313.00,187.00
10,LBL,-,217.00,218.00,215.00,215.00,215.86,"7,841.00",216.00,"1,692,575.00",32,-1.00,3.00,-0.46,1.40,-0.40,292.00,209.00
11,MBL,-,202.00,210.00,202.00,206.00,207.05,"28,033.00",206.00,"5,804,185.00",66,0.00,8.00,0.00,3.96,-0.51,299.00,200.00
12,MEGA,-,189.00,194.00,185.00,188.00,187.88,"47,196.00",188.00,"8,866,958.00",181,0.00,9.00,0.00,4.86,0.07,449.00,150.00
13,NABIL,-,870.00,875.00,862.00,863.00,869.10,"3,135.00",865.00,"2,724,634.00",53,-2.00,13.00,-0.23,1.51,-0.71,"1,181.00",862.00
14,NBB,-,190.00,199.00,190.00,195.00,194.52,"19,001.00",193.00,"3,696,130.00",64,2.00,9.00,1.04,4.74,0.24,303.00,190.00
15,NBL,-,292.00,293.00,291.00,292.00,292.18,"1,095,018.00",292.00,"319,943,456.00",211,0.00,2.00,0.00,0.69,-0.06,384.00,280.00
16,NCCB,-,201.00,206.00,200.00,203.00,202.31,"24,746.00",201.00,"5,006,397.00",82,2.00,6.00,1.00,3.00,0.34,374.00,172.00
17,NIB,-,611.00,623.00,611.00,617.00,618.63,"8,193.00",617.00,"5,068,430.00",82,0.00,12.00,0.00,1.96,-0.26,700.00,600.00
18,NICA,-,408.00,416.00,398.00,403.00,404.75,"22,920.00",400.00,"9,276,783.00",96,3.00,18.00,0.75,4.52,-0.43,459.00,285.00
19,NMB,-,355.00,362.00,355.00,358.00,357.98,"39,922.00",357.00,"14,291,098.00",185,1.00,7.00,0.28,1.97,0.01,502.00,303.00
20,PCBL,-,313.00,320.00,313.00,315.00,315.52,"10,076.00",315.00,"3,179,133.00",60,0.00,7.00,0.00,2.24,-0.16,456.00,265.00
21,PRVU,-,240.00,247.00,240.00,242.00,243.38,"58,043.00",242.00,"14,126,564.00",107,0.00,7.00,0.00,2.92,-0.57,369.00,175.00
22,SANIMA,-,300.00,309.00,300.00,304.00,302.69,"15,895.00",301.00,"4,811,250.00",74,3.00,9.00,1.00,3.00,0.43,386.00,300.00
23,SBI,-,405.00,407.00,398.00,398.00,400.12,"10,228.00",401.00,"4,092,416.00",31,-3.00,9.00,-0.75,2.26,-0.53,775.00,398.00
24,SBL,-,300.00,310.00,300.00,305.00,305.20,"11,760.00",305.00,"3,589,178.00",47,0.00,10.00,0.00,3.33,-0.07,403.00,276.00
25,SCB,-,550.00,564.00,550.00,550.00,557.59,"15,518.00",560.00,"8,652,668.00",117,-10.00,14.00,-1.79,2.55,-1.38,"2,299.00",550.00
26,SRBL,-,217.00,219.00,217.00,217.00,217.62,"8,596.00",215.00,"1,870,628.00",36,2.00,2.00,0.93,0.92,-0.28,289.00,212.00
