S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,332.00,340.00,332.00,336.00,335.90,"3,379.00",329.00,"1,135,007.00",24,7.00,8.00,2.13,2.41,0.03,472.00,283.00
2,BOKL,-,316.00,327.00,315.00,315.00,317.83,"2,447.00",316.00,"777,735.00",16,-1.00,12.00,-0.32,3.81,-0.90,503.00,294.00
3,CBL,-,162.00,168.00,162.00,163.00,164.20,"35,530.00",159.00,"5,833,868.00",96,4.00,6.00,2.52,3.70,-0.73,272.00,136.00
4,CCBL,-,176.00,184.00,176.00,179.00,180.10,"5,243.00",173.00,"944,255.00",30,6.00,8.00,3.47,4.55,-0.61,388.00,155.00
5,CZBIL,-,251.00,260.00,251.00,256.00,257.18,"5,368.00",250.00,"1,380,532.00",25,6.00,9.00,2.40,3.59,-0.46,412.00,236.00
6,EBL,-,711.00,727.00,707.00,710.00,715.20,"4,996.00",701.00,"3,573,143.00",44,9.00,20.00,1.28,2.83,-0.73,"1,755.00",650.00
7,GBIME,-,306.00,307.00,300.00,300.00,303.17,"3,325.00",300.00,"1,008,055.00",31,0.00,7.00,0.00,2.33,-1.06,410.00,285.00
8,HBL,-,586.00,592.00,586.00,588.00,590.13,360.00,584.00,"212,446.00",6,4.00,6.00,0.68,1.02,-0.36,933.00,560.00
9,KBL,-,225.00,227.00,224.00,224.00,225.84,"3,146.00",222.00,"710,482.00",12,2.00,3.00,0.90,1.34,-0.82,341.00,217.00
10,LBL,-,270.00,270.00,268.00,270.00,269.55,"1,108.00",265.00,"298,660.00",9,5.00,2.00,1.89,0.75,0.17,493.00,209.00
11,MBL,-,225.00,227.00,220.00,224.00,224.15,"3,292.00",224.00,"737,908.00",22,0.00,7.00,0.00,3.18,-0.07,383.00,201.00
12,MEGA,-,180.00,191.00,177.00,179.00,181.35,"85,545.00",180.00,"15,513,771.00",289,-1.00,14.00,-0.56,7.91,-1.31,458.00,172.00
13,NABIL,-,998.00,"1,000.00",988.00,990.00,993.77,"1,882.00",979.00,"1,870,275.00",30,11.00,12.00,1.12,1.21,-0.38,"1,810.00",888.00
14,NBB,-,226.00,227.00,224.00,225.00,225.63,"3,242.00",222.00,"731,478.00",12,3.00,3.00,1.35,1.34,-0.28,433.00,204.00
15,NBL,-,316.00,322.00,314.00,314.00,316.99,"14,099.00",310.00,"4,469,185.00",41,4.00,8.00,1.29,2.55,-0.95,393.00,285.00
16,NCCB,-,264.00,264.00,259.00,263.00,259.67,675.00,259.00,"175,275.00",7,4.00,5.00,1.54,1.93,1.27,415.00,217.00
17,NIB,-,650.00,655.00,641.00,642.00,644.43,"4,120.00",638.00,"2,655,053.00",46,4.00,14.00,0.63,2.18,-0.38,813.00,611.00
18,NICA,-,332.00,338.00,332.00,334.00,334.50,"3,040.00",326.00,"1,016,894.00",22,8.00,6.00,2.45,1.81,-0.15,483.00,285.00
19,NMB,-,395.00,410.00,395.00,395.00,398.61,"5,153.00",395.00,"2,054,057.00",36,0.00,15.00,0.00,3.80,-0.91,587.00,384.00
20,PCBL,-,311.00,311.00,307.00,310.00,308.50,"4,203.00",305.00,"1,296,606.00",23,5.00,4.00,1.64,1.30,0.49,464.00,265.00
21,PRVU,-,211.00,215.00,205.00,207.00,209.01,"5,012.00",207.00,"1,047,548.00",22,0.00,10.00,0.00,4.88,-0.97,418.00,196.00
22,SANIMA,-,338.00,344.00,334.00,334.00,339.28,"8,886.00",332.00,"3,014,864.00",31,2.00,10.00,0.60,2.99,-1.58,457.00,299.20
23,SBI,-,523.00,529.00,515.00,515.00,516.75,"3,425.00",513.00,"1,769,879.00",16,2.00,14.00,0.39,2.72,-0.34,996.00,495.00
24,SBL,-,322.00,328.00,320.00,321.00,322.65,"4,150.00",316.00,"1,338,990.00",22,5.00,8.00,1.58,2.50,-0.51,524.00,275.00
25,SCB,-,807.00,820.00,795.00,800.00,806.31,"3,140.00",792.00,"2,531,803.00",35,8.00,25.00,1.01,3.14,-0.79,"2,399.00",776.00
26,SRBL,-,231.00,239.00,228.00,230.00,230.58,"12,344.00",228.00,"2,846,308.00",33,2.00,11.00,0.88,4.82,-0.25,408.00,215.00
