S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,440.00,440.00,424.00,430.00,428.38,"16,936.00",440.00,"7,255,084.00",84,-10.00,16.00,0.00,3.77,0.38,0.00,0.00
2,BOKL,-,435.00,433.00,413.00,415.00,418.38,"28,314.00",435.00,"11,846,079.00",158,-20.00,20.00,0.00,4.84,-0.82,0.00,0.00
3,CBL,-,233.00,232.00,226.00,227.00,228.79,"24,227.00",233.00,"5,542,994.00",77,-6.00,6.00,0.00,2.65,-0.79,0.00,0.00
4,CCBL,-,224.00,226.00,218.00,222.00,219.22,"35,339.00",224.00,"7,747,045.00",122,-2.00,8.00,0.00,3.67,1.25,0.00,0.00
5,CZBIL,-,295.00,295.00,290.00,295.00,292.38,"18,873.00",295.00,"5,518,081.00",82,0.00,5.00,0.00,1.72,0.89,0.00,0.00
6,EBL,-,"1,190.00","1,185.00","1,150.00","1,157.00","1,166.03","13,157.00","1,190.00","15,341,510.00",104,-33.00,35.00,0.00,3.04,-0.78,0.00,0.00
7,GBIME,-,330.00,328.00,323.00,325.00,324.34,"11,802.00",330.00,"3,827,918.00",65,-5.00,5.00,0.00,1.55,0.20,0.00,0.00
8,HBL,-,868.00,868.00,835.00,845.00,848.86,"11,622.00",868.00,"9,865,394.00",64,-23.00,33.00,0.00,3.95,-0.46,0.00,0.00
9,KBL,-,304.00,303.00,293.00,297.00,297.23,"39,398.00",304.00,"11,710,080.00",114,-7.00,10.00,0.00,3.41,-0.08,0.00,0.00
10,LBL,-,314.00,310.00,304.00,304.00,305.46,"11,995.00",314.00,"3,663,984.00",31,-10.00,6.00,0.00,1.97,-0.48,0.00,0.00
11,MBL,-,315.00,315.00,305.00,306.00,306.90,"33,414.00",315.00,"10,254,903.00",145,-9.00,10.00,0.00,3.28,-0.30,0.00,0.00
12,NABIL,-,"1,215.00","1,210.00","1,194.00","1,203.00","1,200.07","7,767.00","1,215.00","9,320,970.00",70,-12.00,16.00,0.00,1.34,0.24,0.00,0.00
13,NBB,-,286.00,287.00,273.00,275.00,278.16,"57,163.00",286.00,"15,900,383.00",159,-11.00,14.00,0.00,5.13,-1.15,0.00,0.00
14,NBL,-,341.00,341.00,335.00,338.00,337.73,"31,064.00",341.00,"10,491,353.00",64,-3.00,6.00,0.00,1.79,0.08,0.00,0.00
15,NCCB,-,355.00,355.00,343.00,348.00,346.28,"27,622.00",355.00,"9,564,947.00",93,-7.00,12.00,0.00,3.50,0.49,0.00,0.00
16,NIB,-,628.00,650.00,625.00,626.00,627.63,"33,255.00",628.00,"20,871,692.00",188,-2.00,25.00,0.00,4.00,-0.26,0.00,0.00
17,NICA,-,353.00,360.00,347.00,360.00,351.29,"16,310.00",353.00,"5,729,499.00",67,7.00,13.00,0.00,3.75,2.42,0.00,0.00
18,NMB,-,485.00,482.00,470.00,473.00,475.84,"11,638.00",485.00,"5,537,827.00",79,-12.00,12.00,0.00,2.55,-0.60,0.00,0.00
19,PCBL,-,440.00,442.00,428.00,430.00,432.80,"33,649.00",440.00,"14,563,149.00",154,-10.00,14.00,0.00,3.27,-0.65,0.00,0.00
20,PRVU,-,365.00,369.00,352.00,355.00,356.96,"40,530.00",365.00,"14,467,454.00",120,-10.00,17.00,0.00,4.83,-0.55,0.00,0.00
21,SANIMA,-,344.00,342.00,338.00,341.00,339.82,"13,676.00",344.00,"4,647,407.00",82,-3.00,4.00,0.00,1.18,0.35,0.00,0.00
22,SBI,-,775.00,779.00,762.00,766.00,771.71,"6,160.00",775.00,"4,753,750.00",58,-9.00,17.00,0.00,2.23,-0.75,0.00,0.00
23,SBL,-,406.00,398.00,383.00,388.00,387.57,"39,495.00",406.00,"15,307,133.00",188,-18.00,15.00,0.00,3.92,0.11,0.00,0.00
24,SCB,-,"2,090.00","2,090.00","2,045.00","2,055.00","2,055.95","11,366.00","2,090.00","23,367,886.00",281,-35.00,45.00,0.00,2.20,-0.05,0.00,0.00
25,SRBL,-,290.00,290.00,271.00,275.00,274.94,"62,663.00",290.00,"17,228,396.00",228,-15.00,19.00,0.00,7.01,0.02,0.00,0.00
