S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,238.00,243.00,234.00,243.00,235.43,"3,936.00",238.00,"926,659.00",44,5.00,9.00,0.00,3.85,3.11,0.00,0.00
2,CZBIL,-,277.00,285.00,271.00,285.00,274.95,"13,171.00",277.00,"3,621,394.00",54,8.00,14.00,0.00,5.17,3.53,0.00,0.00
3,EBL,-,"1,361.00","1,375.00","1,360.00","1,375.00","1,368.39","4,705.00","1,361.00","6,438,269.00",34,14.00,15.00,0.00,1.10,0.48,0.00,0.00
4,GBIME,-,399.00,410.00,395.00,410.00,399.12,"5,251.00",399.00,"2,095,800.00",58,11.00,15.00,0.00,3.80,2.65,0.00,0.00
5,HBL,-,805.00,806.00,787.00,800.00,797.14,"2,445.00",805.00,"1,949,013.00",12,-5.00,19.00,0.00,2.41,0.36,0.00,0.00
6,KBL,-,273.00,273.00,270.00,273.00,272.32,416.00,273.00,"113,285.00",4,0.00,3.00,0.00,1.11,0.25,0.00,0.00
7,LBL,-,359.00,366.00,360.00,363.00,361.84,"2,430.00",359.00,"879,281.00",11,4.00,6.00,0.00,1.67,0.32,0.00,0.00
8,MBL,-,224.00,223.00,219.00,219.00,220.70,"8,641.00",224.00,"1,907,031.00",19,-5.00,4.00,0.00,1.83,-0.77,0.00,0.00
9,NABIL,-,"1,650.00","1,646.00","1,620.00","1,640.00","1,633.52","2,114.00","1,650.00","3,453,271.00",16,-10.00,26.00,0.00,1.60,0.39,0.00,0.00
10,NBB,-,255.00,258.00,250.00,255.00,251.62,"11,920.00",255.00,"2,999,325.00",20,0.00,8.00,0.00,3.20,1.33,0.00,0.00
11,NBL,-,"1,166.00","1,143.00","1,050.00","1,050.00","1,051.34","2,609.00","1,166.00","2,742,956.00",49,-116.00,93.00,0.00,8.86,-0.13,0.00,0.00
12,NCCB,-,184.00,184.00,181.00,184.00,182.54,"4,010.00",184.00,"731,980.00",12,0.00,3.00,0.00,1.66,0.79,0.00,0.00
13,NIB,-,820.00,820.00,800.00,820.00,802.39,"5,364.00",820.00,"4,304,008.00",32,0.00,20.00,0.00,2.50,2.15,0.00,0.00
14,NMB,-,261.00,267.00,256.00,264.00,260.27,"6,508.00",261.00,"1,693,838.00",16,3.00,11.00,0.00,4.30,1.41,0.00,0.00
15,PCBL,-,303.00,318.00,299.00,318.00,304.22,"7,575.00",303.00,"2,304,442.00",44,15.00,19.00,0.00,6.35,4.33,0.00,0.00
16,SANIMA,-,268.00,276.00,264.00,273.00,270.85,"6,303.00",268.00,"1,707,194.00",23,5.00,12.00,0.00,4.55,0.79,0.00,0.00
17,SBI,-,821.00,845.00,815.00,835.00,824.21,"10,682.00",821.00,"8,804,220.00",35,14.00,30.00,0.00,3.68,1.29,0.00,0.00
18,SBL,-,326.00,325.00,320.00,325.00,320.98,"2,224.00",326.00,"713,862.00",10,-1.00,5.00,0.00,1.56,1.24,0.00,0.00
19,SCB,-,"2,050.00","2,049.00","2,000.00","2,049.00","2,030.94","2,181.00","2,050.00","4,429,471.00",18,-1.00,49.00,0.00,2.45,0.88,0.00,0.00
20,SRBL,-,188.00,191.00,188.00,191.00,189.19,"2,111.00",188.00,"399,370.00",20,3.00,3.00,0.00,1.60,0.95,0.00,0.00
