S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,315.00,317.00,310.00,312.00,310.83,"40,507.00",313.00,"12,590,795.00",45,-1.00,7.00,-0.32,2.26,0.37,472.00,283.00
2,BOKL,-,269.00,269.00,260.00,262.00,263.47,"6,143.00",264.00,"1,618,502.00",25,-2.00,9.00,-0.76,3.46,-0.56,503.00,250.00
3,CBL,-,149.00,152.00,148.00,149.00,150.00,"29,464.00",149.00,"4,419,726.00",63,0.00,4.00,0.00,2.70,-0.67,272.00,136.00
4,CCBL,-,169.00,173.00,169.00,170.00,171.25,"10,071.00",169.00,"1,724,618.00",54,1.00,4.00,0.59,2.37,-0.73,295.00,155.00
5,CZBIL,-,240.00,242.00,237.00,238.00,239.93,"7,121.00",241.00,"1,708,553.00",35,-3.00,5.00,-1.24,2.11,-0.81,412.00,228.00
6,EBL,-,666.00,678.00,666.00,667.00,671.22,"7,899.00",665.00,"5,301,934.00",60,2.00,12.00,0.30,1.80,-0.63,"1,430.00",635.00
7,GBIME,-,295.00,296.00,288.00,288.00,291.01,"13,780.00",295.00,"4,010,163.00",83,-7.00,8.00,-2.37,2.78,-1.05,410.00,275.00
8,HBL,-,548.00,554.00,544.00,550.00,550.06,"1,851.00",544.00,"1,018,164.00",13,6.00,10.00,1.10,1.84,-0.01,932.00,530.00
9,KBL,-,199.00,200.00,195.00,196.00,197.43,"57,832.00",200.00,"11,417,763.00",94,-4.00,5.00,-2.00,2.56,-0.73,341.00,198.00
10,LBL,-,256.00,260.00,254.00,257.00,256.65,"6,339.00",258.00,"1,626,920.00",37,-1.00,6.00,-0.39,2.36,0.14,400.00,209.00
11,MBL,-,212.00,212.00,208.00,208.00,209.29,"14,171.00",209.00,"2,965,905.00",42,-1.00,4.00,-0.48,1.92,-0.62,381.00,201.00
12,MEGA,-,166.00,168.00,160.00,160.00,162.91,"24,041.00",163.00,"3,916,480.00",116,-3.00,8.00,-1.84,5.00,-1.82,449.00,150.00
13,NABIL,-,920.00,928.00,917.00,918.00,920.86,"9,218.00",917.00,"8,488,516.00",81,1.00,11.00,0.11,1.20,-0.31,"1,810.00",888.00
14,NBB,-,218.00,218.00,211.00,215.00,213.63,"11,621.00",214.00,"2,482,646.00",54,1.00,7.00,0.47,3.32,0.64,430.00,204.00
15,NBL,-,282.00,284.00,282.00,282.00,282.50,"10,396.00",282.00,"2,936,829.00",20,0.00,2.00,0.00,0.71,-0.18,393.00,280.00
16,NCCB,-,250.00,254.00,242.00,254.00,246.68,"37,589.00",248.00,"9,272,589.00",88,6.00,12.00,2.42,4.96,2.88,396.00,217.00
17,NIB,-,620.00,631.00,620.00,621.00,623.56,"15,016.00",620.00,"9,363,334.00",130,1.00,11.00,0.16,1.77,-0.41,813.00,600.00
18,NICA,-,321.00,322.00,311.00,311.00,315.58,"9,992.00",320.00,"3,153,319.00",59,-9.00,11.00,-2.81,3.54,-1.47,483.00,285.00
19,NMB,-,351.00,358.00,351.00,354.00,355.39,"14,091.00",345.00,"5,007,849.00",55,9.00,7.00,2.61,1.99,-0.39,580.00,338.00
20,PCBL,-,287.00,290.00,283.00,285.00,285.61,"16,006.00",284.00,"4,571,546.00",61,1.00,7.00,0.35,2.47,-0.22,464.00,265.00
21,PRVU,-,188.00,188.00,183.00,183.00,185.37,"13,884.00",185.00,"2,573,715.00",75,-2.00,5.00,-1.08,2.73,-1.30,418.00,173.00
22,SANIMA,-,330.00,333.00,324.00,324.00,329.00,"10,168.00",329.00,"3,345,283.00",47,-5.00,9.00,-1.52,2.78,-1.54,450.00,299.20
23,SBI,-,501.00,503.00,500.00,503.00,501.40,"1,275.00",501.00,"639,280.00",10,2.00,3.00,0.40,0.60,0.32,965.00,481.00
24,SBL,-,305.00,308.00,300.00,300.00,305.29,"5,769.00",300.00,"1,761,212.00",41,0.00,8.00,0.00,2.67,-1.76,500.00,275.00
25,SCB,-,760.00,770.00,757.00,758.00,760.92,"3,859.00",760.00,"2,936,383.00",73,-2.00,13.00,-0.26,1.72,-0.38,"2,399.00",714.00
26,SRBL,-,228.00,230.00,221.00,221.00,224.46,"3,793.00",224.00,"851,362.00",35,-3.00,9.00,-1.34,4.07,-1.56,408.00,215.00
