S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,466.00,468.00,456.00,468.00,457.40,"5,270.00",466.00,"2,410,519.00",46,2.00,12.00,0.00,2.63,2.26,0.00,0.00
2,CZBIL,-,440.00,439.00,430.00,437.00,434.12,"8,885.00",440.00,"3,857,162.00",32,-3.00,9.00,0.00,2.09,0.66,0.00,0.00
3,EBL,-,"2,070.00","2,055.00","2,040.00","2,041.00","2,046.05","5,982.00","2,070.00","12,239,486.00",61,-29.00,15.00,0.00,0.74,-0.25,0.00,0.00
4,HBL,-,860.00,850.00,850.00,850.00,850.00,749.00,860.00,"636,650.00",3,-10.00,0.00,0.00,0.00,0.00,0.00,0.00
5,KBL,-,502.00,503.00,490.00,490.00,498.21,"9,423.00",502.00,"4,694,650.00",34,-12.00,13.00,0.00,2.65,-1.68,0.00,0.00
6,LBL,-,573.00,580.00,560.00,560.00,566.95,"63,645.00",573.00,"36,083,312.00",177,-13.00,20.00,0.00,3.57,-1.24,0.00,0.00
7,MBL,-,438.00,440.00,430.00,430.00,433.79,"16,902.00",438.00,"7,331,884.00",50,-8.00,10.00,0.00,2.33,-0.88,0.00,0.00
8,MEGA,-,402.00,406.00,392.00,400.00,399.26,"7,342.00",402.00,"2,931,354.00",111,-2.00,14.00,0.00,3.57,0.19,0.00,0.00
9,NABIL,-,"1,979.00","1,970.00","1,870.00","1,955.00","1,901.80","4,854.00","1,979.00","9,231,320.00",34,-24.00,100.00,0.00,5.35,2.72,0.00,0.00
10,NBB,-,586.00,586.00,570.00,575.00,573.13,"5,160.00",586.00,"2,957,325.00",15,-11.00,16.00,0.00,2.81,0.33,0.00,0.00
11,NBL,-,326.00,330.00,321.00,325.00,323.71,"27,192.00",326.00,"8,802,240.00",36,-1.00,9.00,0.00,2.80,0.40,0.00,0.00
12,NCCB,-,411.00,410.00,395.00,402.00,401.18,"12,390.00",411.00,"4,970,591.00",36,-9.00,15.00,0.00,3.80,0.20,0.00,0.00
13,NIB,-,885.00,890.00,856.00,866.00,865.94,"3,714.00",885.00,"3,216,107.00",22,-19.00,34.00,0.00,3.97,0.01,0.00,0.00
14,NICA,-,738.00,741.00,730.00,733.00,733.24,"4,187.00",738.00,"3,070,072.00",24,-5.00,11.00,0.00,1.51,-0.03,0.00,0.00
15,NMB,-,388.00,395.00,373.00,379.00,381.83,"6,362.00",388.00,"2,429,184.00",21,-9.00,22.00,0.00,5.90,-0.75,0.00,0.00
16,PCBL,-,462.00,461.00,450.00,461.00,453.46,"4,886.00",462.00,"2,215,606.00",33,-1.00,11.00,0.00,2.44,1.64,0.00,0.00
17,SANIMA,-,461.00,460.00,446.00,449.00,449.42,"16,950.00",461.00,"7,617,726.00",50,-12.00,14.00,0.00,3.14,-0.09,0.00,0.00
18,SBI,-,965.00,965.00,945.00,953.00,948.61,"9,918.00",965.00,"9,408,267.00",30,-12.00,20.00,0.00,2.12,0.46,0.00,0.00
19,SBL,-,535.00,545.00,527.00,545.00,533.00,"4,342.00",535.00,"2,314,277.00",21,10.00,18.00,0.00,3.42,2.20,0.00,0.00
20,SCB,-,"1,810.00","1,810.00","1,781.00","1,781.00","1,797.73","1,677.00","1,810.00","3,014,787.00",20,-29.00,29.00,0.00,1.63,-0.94,0.00,0.00
21,SRBL,-,435.00,438.00,430.00,432.00,431.69,"3,439.00",435.00,"1,484,569.00",35,-3.00,8.00,0.00,1.86,0.07,0.00,0.00
