S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,465.00,483.00,462.00,481.00,472.95,"16,618.00",465.00,"7,859,498.00",42,16.00,21.00,0.00,4.55,1.67,0.00,0.00
2,CBL,-,243.00,245.00,237.00,238.00,241.57,"4,645.00",243.00,"1,122,077.00",13,-5.00,8.00,0.00,3.38,-1.50,0.00,0.00
3,CCBL,-,294.00,294.00,290.00,293.00,292.26,"1,398.00",294.00,"408,573.00",12,-1.00,4.00,0.00,1.38,0.25,0.00,0.00
4,CZBIL,-,560.00,570.00,565.00,568.00,568.46,"2,424.00",560.00,"1,377,935.00",12,8.00,5.00,0.00,0.88,-0.08,0.00,0.00
5,EBL,-,"2,000.00","2,030.00","2,000.00","2,020.00","2,019.96","2,481.00","2,000.00","5,011,520.00",20,20.00,30.00,0.00,1.50,0.00,0.00,0.00
6,GBIME,-,395.00,396.00,390.00,394.00,393.80,"3,482.00",395.00,"1,371,218.00",21,-1.00,6.00,0.00,1.54,0.05,0.00,0.00
7,HBL,-,921.00,931.00,925.00,930.00,927.02,753.00,921.00,"698,043.00",7,9.00,6.00,0.00,0.65,0.32,0.00,0.00
8,KBL,-,385.00,390.00,382.00,385.00,385.98,"9,215.00",385.00,"3,556,843.00",20,0.00,8.00,0.00,2.09,-0.26,0.00,0.00
9,LBL,-,487.00,515.00,490.00,510.00,502.57,"8,959.00",487.00,"4,502,548.00",38,23.00,25.00,0.00,5.10,1.46,0.00,0.00
10,NABIL,-,"1,842.00","1,844.00","1,815.00","1,830.00","1,825.30","2,620.00","1,842.00","4,782,280.00",16,-12.00,29.00,0.00,1.60,0.26,0.00,0.00
11,NBB,-,424.00,431.00,421.00,431.00,425.68,"2,467.00",424.00,"1,050,149.00",13,7.00,10.00,0.00,2.38,1.23,0.00,0.00
12,NBL,-,277.00,282.00,277.00,282.00,279.46,"27,792.00",277.00,"7,766,870.00",46,5.00,5.00,0.00,1.81,0.90,0.00,0.00
13,NIB,-,670.00,675.00,667.00,670.00,669.51,"4,205.00",670.00,"2,815,300.00",25,0.00,8.00,0.00,1.20,0.07,0.00,0.00
14,NICA,-,915.00,957.00,901.00,957.00,932.51,"30,396.00",915.00,"28,344,516.00",139,42.00,56.00,0.00,6.22,2.56,0.00,0.00
15,NMB,-,410.00,410.00,405.00,410.00,409.33,251.00,410.00,"102,742.00",3,0.00,5.00,0.00,1.23,0.16,0.00,0.00
16,PCBL,-,580.00,590.00,577.00,586.00,583.21,"9,424.00",580.00,"5,496,194.00",34,6.00,13.00,0.00,2.25,0.48,0.00,0.00
17,SANIMA,-,650.00,663.00,637.00,663.00,646.48,"8,452.00",650.00,"5,464,030.00",26,13.00,26.00,0.00,4.08,2.49,0.00,0.00
18,SBI,-,"1,361.00","1,497.00","1,388.00","1,497.00","1,495.33","2,242.00","1,361.00","3,352,523.00",22,136.00,109.00,0.00,7.85,0.11,0.00,0.00
19,SBL,-,565.00,565.00,554.00,565.00,558.42,"5,184.00",565.00,"2,894,847.00",6,0.00,11.00,0.00,1.99,1.16,0.00,0.00
20,SCB,-,"2,400.00","2,425.00","2,405.00","2,412.00","2,415.65",684.00,"2,400.00","1,652,302.00",8,12.00,20.00,0.00,0.83,-0.15,0.00,0.00
21,SRBL,-,390.00,389.00,385.00,385.00,386.23,"2,696.00",390.00,"1,041,280.00",13,-5.00,4.00,0.00,1.04,-0.32,0.00,0.00
