S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,240.00,244.00,238.00,244.00,239.25,"4,273.00",240.00,"1,022,327.00",63,4.00,6.00,0.00,2.52,1.95,0.00,0.00
2,CZBIL,-,261.00,269.00,263.00,265.00,265.93,"2,115.00",261.00,"562,435.00",20,4.00,6.00,0.00,2.28,-0.35,0.00,0.00
3,EBL,-,"1,379.00","1,385.00","1,374.00","1,381.00","1,376.52","5,040.00","1,379.00","6,937,656.00",34,2.00,11.00,0.00,0.80,0.32,0.00,0.00
4,GBIME,-,416.00,415.00,409.00,415.00,412.65,"8,687.00",416.00,"3,584,658.00",49,-1.00,6.00,0.00,1.47,0.57,0.00,0.00
5,HBL,-,760.00,773.00,755.00,755.00,762.36,"1,625.00",760.00,"1,238,831.00",5,-5.00,18.00,0.00,2.38,-0.97,0.00,0.00
6,KBL,-,261.00,262.00,260.00,260.00,260.65,550.00,261.00,"143,360.00",3,-1.00,2.00,0.00,0.77,-0.25,0.00,0.00
7,LBL,-,346.00,345.00,340.00,344.00,342.60,"2,737.00",346.00,"937,690.00",9,-2.00,5.00,0.00,1.47,0.41,0.00,0.00
8,MBL,-,223.00,226.00,220.00,225.00,222.26,"6,429.00",223.00,"1,428,901.00",26,2.00,6.00,0.00,2.73,1.22,0.00,0.00
9,NABIL,-,"1,606.00","1,687.00","1,637.00","1,655.00","1,653.37","4,707.00","1,606.00","7,782,426.00",58,49.00,50.00,0.00,3.05,0.10,0.00,0.00
10,NBB,-,279.00,278.00,270.00,274.00,273.58,"30,913.00",279.00,"8,457,202.00",82,-5.00,8.00,0.00,2.96,0.15,0.00,0.00
11,NBL,-,920.00,905.00,900.00,900.00,902.13,618.00,920.00,"557,517.00",11,-20.00,5.00,0.00,0.56,-0.24,0.00,0.00
12,NCCB,-,191.00,188.00,180.00,185.00,181.48,"16,050.00",191.00,"2,912,700.00",33,-6.00,8.00,0.00,4.44,1.90,0.00,0.00
13,NIB,-,760.00,790.00,760.00,790.00,772.39,"3,538.00",760.00,"2,732,710.00",30,30.00,30.00,0.00,3.95,2.23,0.00,0.00
14,NMB,-,264.00,267.00,264.00,267.00,264.80,"2,185.00",264.00,"578,597.00",7,3.00,3.00,0.00,1.14,0.82,0.00,0.00
15,PCBL,-,301.00,307.00,299.00,302.00,302.37,"9,966.00",301.00,"3,013,375.00",52,1.00,8.00,0.00,2.68,-0.12,0.00,0.00
16,SANIMA,-,261.00,269.00,259.00,266.00,262.86,"9,776.00",261.00,"2,569,748.00",29,5.00,10.00,0.00,3.86,1.18,0.00,0.00
17,SBI,-,820.00,820.00,811.00,818.00,814.41,"1,595.00",820.00,"1,298,985.00",11,-2.00,9.00,0.00,1.11,0.44,0.00,0.00
18,SBL,-,307.00,308.00,302.00,308.00,304.12,787.00,307.00,"239,345.00",6,1.00,6.00,0.00,1.99,1.26,0.00,0.00
19,SCB,-,"1,939.00","1,950.00","1,890.00","1,905.00","1,914.69","1,156.00","1,939.00","2,213,376.00",17,-34.00,60.00,0.00,3.17,-0.51,0.00,0.00
20,SRBL,-,185.00,202.00,188.00,202.00,195.73,"7,260.00",185.00,"1,421,014.00",75,17.00,14.00,0.00,7.45,3.10,0.00,0.00
