S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,129.00,129.00,126.00,126.00,127.89,930.00,129.00,"118,940.00",10,-3.00,3.00,0.00,2.38,-1.50,0.00,0.00
2,CZBIL,-,189.00,188.00,175.00,175.00,180.60,"1,820.00",189.00,"328,690.00",15,-14.00,13.00,0.00,7.43,-3.20,0.00,0.00
3,EBL,-,"1,075.00","1,054.00",973.00,973.00,995.65,592.00,"1,075.00","589,422.00",7,-102.00,81.00,0.00,8.32,-2.33,0.00,0.00
4,HBL,-,495.00,491.00,488.00,488.00,488.80,200.00,495.00,"97,760.00",5,-7.00,3.00,0.00,0.61,-0.16,0.00,0.00
5,KBL,-,238.00,235.00,228.00,228.00,231.83,597.00,238.00,"138,405.00",8,-10.00,7.00,0.00,3.07,-1.68,0.00,0.00
6,LBL,-,430.00,422.00,406.00,406.00,414.09,87.00,430.00,"36,026.00",3,-24.00,16.00,0.00,3.94,-1.99,0.00,0.00
7,MBL,-,117.00,118.00,107.00,113.00,110.69,"3,495.00",117.00,"386,849.00",23,-4.00,11.00,0.00,10.28,2.05,0.00,0.00
8,NABIL,-,"1,056.00","1,060.00","1,030.00","1,060.00","1,040.03",665.00,"1,056.00","691,620.00",11,4.00,30.00,0.00,2.91,1.88,0.00,0.00
9,NIB,-,497.00,489.00,480.00,485.00,482.43,778.00,497.00,"375,327.00",13,-12.00,9.00,0.00,1.88,0.53,0.00,0.00
10,NMB,-,204.00,200.00,190.00,190.00,194.34,259.00,204.00,"50,335.00",5,-14.00,10.00,0.00,5.26,-2.29,0.00,0.00
11,PCBL,-,195.00,194.00,185.00,185.00,187.10,"1,912.00",195.00,"357,741.00",21,-10.00,9.00,0.00,4.86,-1.14,0.00,0.00
12,SBI,-,481.00,490.00,485.00,490.00,486.34,372.00,481.00,"180,920.00",2,9.00,5.00,0.00,1.03,0.75,0.00,0.00
13,SBL,-,216.00,216.00,210.00,212.00,213.52,756.00,216.00,"161,420.00",8,-4.00,6.00,0.00,2.86,-0.72,0.00,0.00
14,SCB,-,"1,557.00","1,560.00","1,490.00","1,560.00","1,506.38","3,508.00","1,557.00","5,284,380.00",34,3.00,70.00,0.00,4.70,3.44,0.00,0.00
15,SRBL,-,123.00,128.00,123.00,128.00,124.80,"1,366.00",123.00,"170,475.00",35,5.00,5.00,0.00,4.07,2.50,0.00,0.00
