S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,448.00,453.00,446.00,453.00,447.42,"3,164.00",448.00,"1,415,634.00",20,5.00,7.00,0.00,1.57,1.23,0.00,0.00
2,BOKL,-,434.00,436.00,426.00,434.00,433.67,"4,001.00",434.00,"1,735,098.00",15,0.00,10.00,0.00,2.35,0.08,0.00,0.00
3,CBL,-,230.00,233.00,225.00,233.00,230.72,"3,778.00",230.00,"871,666.00",16,3.00,8.00,0.00,3.56,0.98,0.00,0.00
4,CCBL,-,227.00,228.00,224.00,224.00,225.71,"5,430.00",227.00,"1,225,603.00",37,-3.00,4.00,0.00,1.79,-0.76,0.00,0.00
5,CZBIL,-,306.00,308.00,300.00,305.00,305.05,"5,140.00",306.00,"1,567,971.00",36,-1.00,8.00,0.00,2.67,-0.02,0.00,0.00
6,EBL,-,"1,225.00","1,240.00","1,225.00","1,240.00","1,235.95",185.00,"1,225.00","228,650.00",6,15.00,15.00,0.00,1.22,0.33,0.00,0.00
7,GBIME,-,381.00,382.00,375.00,375.00,378.30,"1,484.00",381.00,"561,399.00",16,-6.00,7.00,0.00,1.87,-0.88,0.00,0.00
8,HBL,-,891.00,898.00,891.00,898.00,893.21,317.00,891.00,"283,147.00",2,7.00,7.00,0.00,0.79,0.53,0.00,0.00
9,KBL,-,297.00,302.00,299.00,301.00,300.10,"5,860.00",297.00,"1,758,599.00",26,4.00,3.00,0.00,1.00,0.30,0.00,0.00
10,LBL,-,339.00,341.00,339.00,340.00,339.97,"1,242.00",339.00,"422,238.00",13,1.00,2.00,0.00,0.59,0.01,0.00,0.00
11,MBL,-,324.00,325.00,321.00,325.00,323.98,"1,368.00",324.00,"443,205.00",8,1.00,4.00,0.00,1.25,0.31,0.00,0.00
12,NABIL,-,"1,264.00","1,265.00","1,243.00","1,265.00","1,253.55","1,586.00","1,264.00","1,988,128.00",27,1.00,22.00,0.00,1.77,0.91,0.00,0.00
13,NBB,-,331.00,334.00,333.00,333.00,333.79,"3,006.00",331.00,"1,003,386.00",14,2.00,1.00,0.00,0.30,-0.24,0.00,0.00
14,NBL,-,354.00,356.00,350.00,353.00,352.17,"6,379.00",354.00,"2,246,468.00",17,-1.00,6.00,0.00,1.71,0.24,0.00,0.00
15,NCCB,-,353.00,357.00,350.00,357.00,353.00,"7,420.00",353.00,"2,619,228.00",24,4.00,7.00,0.00,2.00,1.12,0.00,0.00
16,NIB,-,764.00,768.00,757.00,764.00,761.69,"64,114.00",764.00,"48,834,780.00",832,0.00,11.00,0.00,1.45,0.30,0.00,0.00
17,NICA,-,357.00,370.00,359.00,365.00,364.56,"3,978.00",357.00,"1,450,215.00",33,8.00,11.00,0.00,3.06,0.12,0.00,0.00
18,NMB,-,494.00,494.00,494.00,494.00,494.00,169.00,494.00,"83,486.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,PCBL,-,434.00,451.00,435.00,451.00,442.47,"9,110.00",434.00,"4,030,900.00",37,17.00,16.00,0.00,3.68,1.89,0.00,0.00
20,PRVU,-,385.00,392.00,380.00,383.00,382.90,"1,964.00",385.00,"752,012.00",22,-2.00,12.00,0.00,3.16,0.03,0.00,0.00
21,SANIMA,-,342.00,348.00,336.00,344.00,343.74,"3,995.00",342.00,"1,373,257.00",25,2.00,12.00,0.00,3.57,0.07,0.00,0.00
22,SBI,-,854.00,850.00,840.00,850.00,847.92,195.00,854.00,"165,345.00",7,-4.00,10.00,0.00,1.19,0.24,0.00,0.00
23,SBL,-,428.00,430.00,425.00,425.00,425.83,"2,073.00",428.00,"882,750.00",19,-3.00,5.00,0.00,1.18,-0.20,0.00,0.00
24,SCB,-,"2,194.00","2,225.00","2,181.00","2,205.00","2,208.08","1,222.00","2,194.00","2,698,268.00",51,11.00,44.00,0.00,2.02,-0.14,0.00,0.00
25,SRBL,-,320.00,324.00,320.00,320.00,321.94,"5,423.00",320.00,"1,745,859.00",25,0.00,4.00,0.00,1.25,-0.61,0.00,0.00
