S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,47.10,445.00,452.00,420.00,420.00,439.21,"52,575.00",452.00,"23,091,368.00",216,-32.00,32.00,-7.08,7.62,-4.57,475.00,290.00
2,BOKL,50.12,277.00,280.00,260.00,260.00,267.83,"79,661.00",277.00,"21,335,508.00",233,-17.00,20.00,-6.14,7.69,-3.01,299.00,210.00
3,CBL,44.70,160.00,161.00,155.00,155.00,157.36,"104,245.00",160.00,"16,404,022.00",166,-5.00,6.00,-3.13,3.87,-1.52,175.00,134.00
4,CCBL,45.67,199.00,200.00,190.00,190.00,195.06,"88,484.00",199.00,"17,259,596.00",218,-9.00,10.00,-4.52,5.26,-2.66,210.00,150.00
5,CZBIL,51.10,221.00,224.00,213.00,213.00,218.40,"81,135.00",224.00,"17,719,984.00",245,-11.00,11.00,-4.91,5.16,-2.54,243.00,178.00
6,EBL,56.80,850.00,862.00,786.00,786.00,838.08,"57,994.00",864.00,"48,603,616.00",372,-78.00,76.00,-9.03,9.67,-6.63,932.00,506.00
7,GBIME,63.22,307.00,313.00,296.00,300.00,304.61,"247,421.00",312.00,"75,366,024.00",557,-12.00,17.00,-3.85,5.74,-1.54,331.00,144.48
8,HBL,54.76,670.00,681.00,655.00,655.00,662.76,"18,521.00",681.00,"12,274,890.00",116,-26.00,26.00,-3.82,3.97,-1.18,735.00,422.00
9,KBL,56.99,231.00,231.00,217.00,217.00,222.97,"140,502.00",227.00,"31,327,616.00",313,-10.00,14.00,-4.41,6.45,-2.75,269.00,174.00
10,LBL,46.23,254.00,261.00,243.00,243.00,253.13,"40,905.00",256.00,"10,354,226.00",140,-13.00,18.00,-5.08,7.41,-4.17,270.00,182.00
11,MBL,48.55,280.00,280.00,250.00,250.00,260.55,"111,693.00",275.00,"29,101,904.00",273,-25.00,30.00,-9.09,12.00,-4.22,295.00,205.00
12,MEGA,54.48,260.00,260.00,240.00,240.00,247.96,"151,150.00",260.00,"37,478,848.00",421,-20.00,20.00,-7.69,8.33,-3.32,279.00,155.00
13,NABIL,56.00,926.00,939.00,850.00,850.00,907.64,"68,203.00",940.00,"61,903,748.00",478,-90.00,89.00,-9.57,10.47,-6.78,"1,000.00",660.00
14,NBB,55.34,249.00,250.00,231.00,231.00,242.24,"101,131.00",250.00,"24,498,150.00",288,-19.00,19.00,-7.60,8.23,-4.87,270.00,182.00
15,NBL,49.78,308.00,308.00,292.00,292.00,300.63,"205,347.00",310.00,"61,732,452.00",398,-18.00,16.00,-5.81,5.48,-2.95,355.00,262.00
16,NCCB,48.90,220.00,221.00,206.00,209.00,211.60,"117,633.00",217.00,"24,891,066.00",249,-8.00,15.00,-3.69,7.28,-1.24,276.00,191.00
17,NIB,51.61,468.00,468.00,435.00,435.00,451.31,"66,184.00",466.00,"29,869,584.00",314,-31.00,33.00,-6.65,7.59,-3.75,610.00,368.00
18,NICA,53.81,639.00,639.00,600.00,603.00,619.00,"236,109.00",639.00,"146,152,144.00",791,-36.00,39.00,-5.63,6.50,-2.65,680.00,372.00
19,NMB,49.27,499.00,501.00,463.00,463.00,484.53,"184,765.00",498.00,"89,523,616.00",677,-35.00,38.00,-7.03,8.21,-4.65,517.00,302.00
20,PCBL,50.37,338.00,338.00,314.00,314.00,323.51,"132,614.00",334.00,"42,902,236.00",304,-20.00,24.00,-5.99,7.64,-3.03,397.00,233.00
21,PRVU,47.72,276.00,278.00,264.00,264.00,270.90,"268,917.00",279.00,"72,849,200.00",400,-15.00,14.00,-5.38,5.30,-2.61,304.00,210.00
22,SANIMA,47.86,410.00,410.00,380.00,380.00,393.34,"116,890.00",414.00,"45,977,428.00",395,-34.00,30.00,-8.21,7.89,-3.51,437.00,288.00
23,SBI,56.47,525.00,535.00,506.00,506.00,521.57,"39,156.00",534.00,"20,422,538.00",196,-28.00,29.00,-5.24,5.73,-3.08,583.00,344.00
24,SBL,46.97,362.00,367.00,336.00,336.00,352.39,"73,082.00",366.00,"25,753,344.00",218,-30.00,31.00,-8.20,9.23,-4.88,393.00,273.00
25,SCB,53.18,799.00,799.00,735.00,735.00,768.16,"48,522.00",814.00,"37,272,436.00",413,-79.00,64.00,-9.71,8.71,-4.51,850.00,520.00
26,SRBL,54.82,295.00,295.00,275.00,276.00,284.34,"109,073.00",299.00,"31,014,024.00",263,-23.00,20.00,-7.69,7.27,-3.02,316.00,203.00
