S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,49.72,380.00,387.00,379.00,384.00,384.33,"8,241.00",386.00,"3,167,261.00",62,-2.00,8.00,-0.52,2.11,-0.09,451.00,290.00
2,BOKL,51.60,233.00,233.00,228.00,230.00,229.55,"24,230.00",229.00,"5,561,966.00",72,1.00,5.00,0.44,2.19,0.20,299.00,210.00
3,CBL,45.18,145.00,147.00,144.00,145.00,145.12,"29,858.00",147.00,"4,332,875.00",61,-2.00,3.00,-1.36,2.08,-0.08,175.00,134.00
4,CCBL,46.11,184.00,184.00,179.00,179.00,179.58,"26,338.00",181.00,"4,729,817.00",94,-2.00,5.00,-1.10,2.79,-0.32,197.00,150.00
5,CZBIL,45.75,191.00,194.00,190.00,192.00,191.78,"25,062.00",190.00,"4,806,445.00",102,2.00,4.00,1.05,2.11,0.11,243.00,178.00
6,EBL,50.11,615.00,617.00,612.00,616.00,614.44,"11,351.00",616.00,"6,974,559.00",48,0.00,5.00,0.00,0.82,0.25,707.00,501.00
7,GBIME,46.97,291.00,292.00,286.00,288.00,287.75,"118,782.00",290.00,"34,178,936.00",512,-2.00,6.00,-0.69,2.10,0.09,331.00,245.00
8,HBL,43.54,520.00,520.00,498.00,498.00,504.17,"4,433.00",510.00,"2,234,965.00",35,-12.00,22.00,-2.35,4.42,-1.24,644.00,418.00
9,KBL,45.00,192.00,195.00,190.00,193.00,192.36,"23,057.00",193.00,"4,435,133.00",85,0.00,5.00,0.00,2.63,0.33,269.00,174.00
10,LBL,52.31,211.00,215.00,211.00,211.00,212.35,"14,951.00",213.00,"3,174,827.00",59,-2.00,4.00,-0.94,1.90,-0.64,245.00,182.00
11,MBL,44.30,229.00,235.00,229.00,230.00,231.39,"22,599.00",233.00,"5,229,129.00",77,-3.00,6.00,-1.29,2.62,-0.60,295.00,205.00
12,MEGA,45.12,199.00,199.00,196.00,197.00,196.94,"19,896.00",198.00,"3,918,285.00",85,-1.00,3.00,-0.51,1.53,0.03,222.00,155.00
13,NABIL,47.29,727.00,732.00,721.00,724.00,724.15,"10,541.00",725.00,"7,633,236.00",83,-1.00,11.00,-0.14,1.53,-0.02,900.00,660.00
14,NBB,47.19,201.00,202.00,198.00,200.00,200.29,"16,087.00",201.00,"3,222,061.00",52,-1.00,4.00,-0.50,2.02,-0.14,242.00,178.00
15,NBL,47.73,271.00,272.00,268.00,270.00,269.54,"106,912.00",271.00,"28,817,422.00",229,-1.00,4.00,-0.37,1.49,0.17,355.00,262.00
16,NCCB,58.11,199.00,199.00,195.00,198.00,196.24,"30,840.00",198.00,"6,052,090.00",85,0.00,4.00,0.00,2.05,0.89,276.00,191.00
17,NIB,50.00,396.00,398.00,389.00,389.00,391.51,"43,311.00",395.00,"16,956,812.00",232,-6.00,9.00,-1.52,2.31,-0.65,610.00,375.00
18,NICA,46.29,478.00,478.00,469.00,470.00,472.91,"31,065.00",475.00,"14,690,851.00",131,-5.00,9.00,-1.05,1.92,-0.62,515.00,368.00
19,NMB,50.34,360.00,361.00,355.00,358.00,358.06,"37,059.00",360.00,"13,269,304.00",169,-2.00,6.00,-0.56,1.69,-0.02,407.00,300.00
20,PCBL,50.40,280.00,280.00,267.00,269.00,268.92,"26,276.00",275.00,"7,066,115.00",107,-6.00,13.00,-2.18,4.87,0.03,397.00,233.00
21,PRVU,57.85,252.00,258.00,250.00,255.00,254.49,"152,724.00",251.00,"38,866,080.00",266,4.00,8.00,1.59,3.20,0.20,304.00,205.00
22,SANIMA,47.25,347.00,347.00,342.00,343.00,343.58,"17,917.00",346.00,"6,155,861.00",58,-3.00,5.00,-0.87,1.46,-0.17,371.00,286.00
23,SBI,47.51,410.00,410.00,398.00,402.00,400.79,"8,118.00",410.00,"3,253,635.00",48,-8.00,12.00,-1.95,3.02,0.30,530.00,344.00
24,SBL,43.93,310.00,312.00,308.00,310.00,309.91,"14,441.00",310.00,"4,475,477.00",55,0.00,4.00,0.00,1.30,0.03,361.00,272.00
25,SCB,46.18,603.00,607.00,601.00,601.00,603.64,"4,821.00",609.00,"2,910,155.00",66,-8.00,6.00,-1.31,1.00,-0.44,755.00,520.00
26,SRBL,48.44,235.00,238.00,233.00,235.00,236.08,"11,726.00",233.00,"2,768,237.00",37,2.00,5.00,0.86,2.15,-0.46,277.00,203.00
