S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,125.00,123.00,118.00,120.00,120.41,"2,152.00",125.00,"259,129.00",29,-5.00,5.00,0.00,4.24,-0.34,0.00,0.00
2,CZBIL,-,194.00,194.00,186.00,186.00,192.06,"1,800.00",194.00,"345,700.00",22,-8.00,8.00,0.00,4.30,-3.26,0.00,0.00
3,EBL,-,964.00,975.00,940.00,940.00,949.62,803.00,964.00,"762,545.00",12,-24.00,35.00,0.00,3.72,-1.02,0.00,0.00
4,HBL,-,603.00,602.00,600.00,602.00,600.81,228.00,603.00,"136,984.00",4,-1.00,2.00,0.00,0.33,0.20,0.00,0.00
5,KBL,-,245.00,242.00,235.00,235.00,238.64,391.00,245.00,"93,310.00",5,-10.00,7.00,0.00,2.98,-1.55,0.00,0.00
6,LBL,-,290.00,285.00,270.00,270.00,274.26,"2,846.00",290.00,"780,536.00",21,-20.00,15.00,0.00,5.56,-1.58,0.00,0.00
7,MBL,-,115.00,113.00,107.00,107.00,108.47,"1,090.00",115.00,"118,228.00",4,-8.00,6.00,0.00,5.61,-1.37,0.00,0.00
8,NABIL,-,975.00,970.00,953.00,954.00,961.84,"1,249.00",975.00,"1,201,341.00",15,-21.00,17.00,0.00,1.78,-0.82,0.00,0.00
9,NCCB,-,130.00,128.00,126.00,128.00,127.79,940.00,130.00,"120,120.00",4,-2.00,2.00,0.00,1.59,0.17,0.00,0.00
10,NIB,-,520.00,520.00,509.00,514.00,513.52,"1,014.00",520.00,"520,709.00",9,-6.00,11.00,0.00,2.16,0.09,0.00,0.00
11,NMB,-,182.00,182.00,180.00,180.00,180.38,"1,236.00",182.00,"222,952.00",3,-2.00,2.00,0.00,1.11,-0.21,0.00,0.00
12,PCBL,-,215.00,215.00,210.00,210.00,211.92,"2,052.00",215.00,"434,855.00",14,-5.00,5.00,0.00,2.38,-0.91,0.00,0.00
13,SBL,-,251.00,250.00,244.00,244.00,245.17,"1,105.00",251.00,"270,914.00",12,-7.00,6.00,0.00,2.46,-0.48,0.00,0.00
14,SCB,-,"1,592.00","1,584.00","1,555.00","1,555.00","1,567.26","1,579.00","1,592.00","2,474,710.00",18,-37.00,29.00,0.00,1.86,-0.79,0.00,0.00
15,SRBL,-,143.00,141.00,137.00,137.00,137.85,"4,577.00",143.00,"630,917.00",6,-6.00,4.00,0.00,2.92,-0.62,0.00,0.00
