S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,350.00,350.00,342.00,342.00,344.47,"8,109.00",350.00,"2,793,340.00",57,-8.00,8.00,0.00,2.34,-0.72,0.00,0.00
2,BOKL,-,390.00,391.00,386.00,389.00,388.32,"7,735.00",390.00,"3,003,668.00",48,-1.00,5.00,0.00,1.30,0.17,0.00,0.00
3,CBL,-,179.00,179.00,173.00,177.00,173.90,"43,791.00",179.00,"7,615,121.00",39,-2.00,6.00,0.00,3.47,1.75,0.00,0.00
4,CCBL,-,196.00,196.00,193.00,195.00,194.37,"17,540.00",196.00,"3,409,284.00",103,-1.00,3.00,0.00,1.55,0.32,0.00,0.00
5,CZBIL,-,273.00,275.00,270.00,272.00,271.92,"4,921.00",273.00,"1,338,140.00",29,-1.00,5.00,0.00,1.85,0.03,0.00,0.00
6,EBL,-,861.00,865.00,854.00,854.00,856.62,"6,823.00",861.00,"5,844,751.00",91,-7.00,11.00,0.00,1.29,-0.31,0.00,0.00
7,GBIME,-,325.00,328.00,321.00,321.00,324.11,"7,821.00",325.00,"2,534,891.00",57,-4.00,7.00,0.00,2.18,-0.97,0.00,0.00
8,HBL,-,664.00,663.00,656.00,656.00,657.68,"1,888.00",664.00,"1,241,693.00",21,-8.00,7.00,0.00,1.07,-0.26,0.00,0.00
9,KBL,-,275.00,275.00,270.00,270.00,271.08,"39,245.00",275.00,"10,638,642.00",93,-5.00,5.00,0.00,1.85,-0.40,0.00,0.00
10,LBL,-,275.00,278.00,269.00,269.00,273.23,"21,663.00",275.00,"5,918,951.00",82,-6.00,9.00,0.00,3.35,-1.57,0.00,0.00
11,MBL,-,266.00,270.00,261.00,270.00,263.06,"8,192.00",266.00,"2,154,958.00",36,4.00,9.00,0.00,3.45,2.57,0.00,0.00
12,NABIL,-,"1,086.00","1,092.00","1,074.00","1,077.00","1,080.34","12,146.00","1,086.00","13,121,803.00",119,-9.00,18.00,0.00,1.68,-0.31,0.00,0.00
13,NBB,-,258.00,260.00,256.00,257.00,257.41,"5,329.00",258.00,"1,371,748.00",39,-1.00,4.00,0.00,1.56,-0.16,0.00,0.00
14,NBL,-,365.00,368.00,363.00,363.00,364.02,"28,479.00",365.00,"10,366,972.00",99,-2.00,5.00,0.00,1.38,-0.28,0.00,0.00
15,NCCB,-,322.00,327.00,320.00,322.00,321.18,"11,868.00",322.00,"3,811,776.00",51,0.00,7.00,0.00,2.19,0.25,0.00,0.00
16,NIB,-,673.00,680.00,672.00,673.00,673.77,"15,421.00",673.00,"10,390,227.00",130,0.00,8.00,0.00,1.19,-0.11,0.00,0.00
17,NICA,-,348.00,348.00,346.00,348.00,347.11,"8,577.00",348.00,"2,977,187.00",47,0.00,2.00,0.00,0.58,0.25,0.00,0.00
18,NMB,-,476.00,480.00,470.00,474.00,472.58,"23,034.00",476.00,"10,885,484.00",108,-2.00,10.00,0.00,2.13,0.30,0.00,0.00
19,PCBL,-,306.00,307.00,303.00,305.00,305.08,"5,925.00",306.00,"1,807,573.00",36,-1.00,4.00,0.00,1.32,-0.02,0.00,0.00
20,PRVU,-,235.00,235.00,231.00,234.00,232.16,"7,427.00",235.00,"1,724,225.00",46,-1.00,4.00,0.00,1.73,0.79,0.00,0.00
21,SANIMA,-,354.00,359.00,350.00,350.00,354.57,"22,217.00",354.00,"7,877,537.00",140,-4.00,9.00,0.00,2.57,-1.31,0.00,0.00
22,SBI,-,595.00,599.00,591.00,591.00,593.48,"7,677.00",595.00,"4,556,143.00",55,-4.00,8.00,0.00,1.35,-0.42,0.00,0.00
23,SCB,-,"1,002.00","1,010.00",998.00,"1,000.00","1,001.55","5,899.00","1,002.00","5,908,159.00",112,-2.00,12.00,0.00,1.20,-0.16,0.00,0.00
24,SRBL,-,260.00,261.00,258.00,260.00,260.14,"5,137.00",260.00,"1,336,317.00",34,0.00,3.00,0.00,1.16,-0.05,0.00,0.00
