S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,358.00,358.00,355.00,357.00,356.08,"5,436.00",358.00,"1,935,652.00",42,-1.00,3.00,-0.28,0.85,0.26,451.00,283.00
2,BOKL,-,330.00,331.00,328.00,328.00,329.56,"15,684.00",330.00,"5,168,869.00",62,-2.00,3.00,-0.61,0.91,-0.48,448.00,250.00
3,CBL,-,176.00,176.00,173.00,173.00,174.15,"35,146.00",175.00,"6,120,525.00",83,-2.00,3.00,-1.14,1.73,-0.66,245.00,136.00
4,CCBL,-,194.00,194.00,191.00,192.00,192.12,"13,254.00",191.00,"2,546,308.00",60,1.00,3.00,0.52,1.57,-0.06,230.00,155.00
5,CZBIL,-,249.00,249.00,245.00,245.00,246.40,"12,752.00",247.00,"3,142,156.00",69,-2.00,4.00,-0.81,1.63,-0.57,309.00,223.00
6,EBL,-,638.00,640.00,637.00,637.00,638.34,"4,091.00",637.00,"2,611,446.00",32,0.00,3.00,0.00,0.47,-0.21,"1,245.00",619.00
7,GBIME,-,317.00,320.00,316.00,319.00,317.83,"9,252.00",320.00,"2,940,585.00",44,-1.00,4.00,-0.31,1.27,0.37,349.00,275.00
8,HBL,-,558.00,558.00,550.00,551.00,554.31,"1,689.00",566.00,"936,225.00",14,-15.00,8.00,-2.65,1.45,-0.60,888.00,524.00
9,KBL,-,258.00,259.00,255.00,255.00,256.05,"102,418.00",260.00,"26,224,524.00",109,-5.00,4.00,-1.92,1.57,-0.41,315.00,187.00
10,LBL,-,250.00,250.00,247.00,247.00,247.81,"2,876.00",250.00,"712,702.00",21,-3.00,3.00,-1.20,1.21,-0.33,333.00,209.00
11,MBL,-,222.00,225.00,219.00,221.00,221.61,"43,588.00",222.00,"9,659,429.00",94,-1.00,6.00,-0.45,2.74,-0.27,326.00,200.00
12,MEGA,-,207.00,207.00,203.00,203.00,204.11,"40,559.00",206.00,"8,278,409.00",133,-3.00,4.00,-1.46,1.97,-0.55,449.00,150.00
13,NABIL,-,963.00,963.00,956.00,956.00,960.73,"1,044.00",962.00,"1,003,004.00",16,-6.00,7.00,-0.62,0.73,-0.49,"1,265.00",888.00
14,NBB,-,216.00,217.00,211.00,211.00,213.09,"11,285.00",216.00,"2,404,777.00",44,-5.00,6.00,-2.31,2.84,-0.99,338.00,196.00
15,NBL,-,310.00,310.00,308.00,309.00,308.99,"10,713.00",310.00,"3,310,164.00",31,-1.00,2.00,-0.32,0.65,0.00,384.00,280.00
16,NCCB,-,220.00,220.00,216.00,217.00,217.89,"12,206.00",219.00,"2,659,522.00",50,-2.00,4.00,-0.91,1.85,-0.41,374.00,172.00
17,NIB,-,650.00,650.00,643.00,643.00,644.02,"7,574.00",650.00,"4,877,775.00",56,-7.00,7.00,-1.08,1.09,-0.16,700.00,610.00
18,NICA,-,445.00,445.00,437.00,445.00,439.21,"26,122.00",445.00,"11,473,088.00",93,0.00,8.00,0.00,1.83,1.30,459.00,285.00
19,NMB,-,359.00,363.00,355.00,355.00,357.82,"21,059.00",360.00,"7,535,425.00",106,-5.00,8.00,-1.39,2.25,-0.80,502.00,303.00
20,PCBL,-,339.00,339.00,334.00,335.00,335.22,"14,869.00",338.00,"4,984,378.00",62,-3.00,5.00,-0.89,1.50,-0.07,456.00,265.00
21,PRVU,-,253.00,255.00,248.00,249.00,251.14,"144,744.00",253.00,"36,350,720.00",269,-4.00,7.00,-1.58,2.82,-0.86,384.00,175.00
22,SANIMA,-,346.00,346.00,342.00,344.00,344.10,"12,030.00",346.00,"4,139,567.00",45,-2.00,4.00,-0.58,1.17,-0.03,386.00,305.00
23,SBI,-,494.00,497.00,488.00,497.00,492.17,"3,401.00",494.00,"1,673,880.00",23,3.00,9.00,0.61,1.84,0.97,814.00,481.00
24,SBL,-,347.00,349.00,343.00,346.00,346.70,"28,278.00",349.00,"9,804,106.00",110,-3.00,6.00,-0.86,1.75,-0.20,416.00,276.00
25,SCB,-,714.00,714.00,700.00,700.00,702.73,"3,367.00",708.00,"2,366,105.00",61,-8.00,14.00,-1.13,2.00,-0.39,"2,299.00",681.00
26,SRBL,-,245.00,249.00,244.00,244.00,246.62,"10,318.00",247.00,"2,544,638.00",47,-3.00,5.00,-1.21,2.05,-1.07,351.00,213.00
