S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,350.00,352.00,347.00,349.00,348.63,"14,754.00",351.00,"5,143,638.00",70,-2.00,5.00,-0.57,1.44,0.11,430.00,283.00
2,BOKL,-,340.00,340.00,328.00,330.00,330.61,"13,403.00",334.00,"4,431,205.00",60,-4.00,12.00,-1.20,3.66,-0.19,416.00,250.00
3,CBL,-,164.00,165.00,163.00,163.00,163.24,"7,579.00",165.00,"1,237,211.00",42,-2.00,2.00,-1.21,1.23,-0.15,188.00,136.00
4,CCBL,-,172.00,172.00,171.00,172.00,171.79,"17,717.00",174.00,"3,043,529.00",76,-2.00,1.00,-1.15,0.58,0.12,207.00,155.00
5,CZBIL,-,223.00,223.00,218.00,219.00,220.03,"22,054.00",221.00,"4,852,468.00",193,-2.00,5.00,-0.90,2.29,-0.47,300.00,210.00
6,EBL,-,550.00,552.00,538.00,540.00,542.96,"4,479.00",548.00,"2,431,898.00",43,-8.00,14.00,-1.46,2.60,-0.55,950.00,515.00
7,GBIME,-,286.00,286.00,277.00,277.00,280.74,"22,770.00",281.00,"6,392,363.00",71,-4.00,9.00,-1.42,3.25,-1.35,344.00,275.00
8,HBL,-,485.00,485.00,476.00,479.00,477.65,"1,926.00",489.52,"919,948.00",27,-11.00,9.00,-2.15,1.89,0.28,686.00,475.00
9,KBL,-,248.00,250.00,247.00,248.00,248.71,"4,217.00",248.00,"1,048,796.00",29,0.00,3.00,0.00,1.21,-0.28,299.00,187.00
10,LBL,-,225.00,226.00,223.00,225.00,224.83,"3,746.00",225.00,"842,210.00",20,0.00,3.00,0.00,1.35,0.08,292.00,209.00
11,MBL,-,208.00,209.00,206.00,206.00,207.18,"15,957.00",209.00,"3,305,987.00",37,-3.00,3.00,-1.44,1.46,-0.57,281.00,200.00
12,MEGA,-,181.00,181.00,175.00,176.00,175.83,"46,742.00",180.19,"8,218,459.00",69,-4.00,6.00,-2.33,3.43,0.10,449.00,150.00
13,NABIL,-,879.00,879.00,860.00,860.00,860.97,"7,190.00",866.00,"6,190,405.00",65,-6.00,19.00,-0.69,2.21,-0.11,"1,130.00",830.00
14,NBB,-,201.00,201.00,194.00,194.00,197.25,"9,758.00",198.00,"1,924,736.00",32,-4.00,7.00,-2.02,3.61,-1.67,281.00,189.00
15,NBL,-,310.00,310.00,307.00,307.00,307.65,"57,620.00",310.00,"17,727,008.00",103,-3.00,3.00,-0.97,0.98,-0.21,375.00,280.00
16,NCCB,-,214.00,215.00,212.00,212.00,213.18,"43,303.00",214.00,"9,231,541.00",73,-2.00,3.00,-0.93,1.42,-0.56,342.00,172.00
17,NIB,-,566.00,566.00,558.00,560.00,560.89,"10,549.00",568.00,"5,916,799.00",129,-8.00,8.00,-1.41,1.43,-0.16,700.00,557.00
18,NICA,-,385.00,385.00,380.00,380.00,381.67,"9,724.00",387.00,"3,711,328.00",48,-7.00,5.00,-1.81,1.32,-0.44,459.00,285.00
19,NMB,-,332.00,335.00,329.00,329.00,331.50,"41,159.00",335.00,"13,644,235.00",147,-6.00,6.00,-1.79,1.82,-0.76,502.00,303.00
20,PCBL,-,340.00,340.00,337.00,339.00,338.17,"10,355.00",340.00,"3,501,737.00",60,-1.00,3.00,-0.29,0.89,0.25,352.00,265.00
21,PRVU,-,251.00,252.00,249.00,249.00,250.16,"26,905.00",251.00,"6,730,577.00",103,-2.00,3.00,-0.80,1.20,-0.47,332.00,175.00
22,SANIMA,-,312.00,314.00,309.00,309.00,310.87,"8,391.00",312.00,"2,608,547.00",36,-3.00,5.00,-0.96,1.62,-0.61,386.00,295.00
23,SBI,-,425.00,425.00,421.00,421.00,422.79,"3,890.00",425.00,"1,644,666.00",25,-4.00,4.00,-0.94,0.95,-0.43,634.00,380.00
24,SBL,-,300.00,300.00,295.00,295.00,296.90,"13,737.00",300.00,"4,078,520.00",50,-5.00,5.00,-1.67,1.69,-0.64,385.00,276.00
25,SCB,-,635.00,635.00,615.00,616.00,618.71,"6,340.00",623.00,"3,922,626.00",56,-7.00,20.00,-1.12,3.25,-0.44,"1,097.00",550.00
26,SRBL,-,217.00,219.00,215.00,215.00,216.39,"1,988.00",217.00,"430,177.00",17,-2.00,4.00,-0.92,1.86,-0.65,281.00,212.00
