S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,61.93,511.00,525.00,511.00,519.00,516.94,"107,865.00",512.00,"55,759,638.00",423,7.00,14.00,1.37,2.74,0.40,525.00,313.00
2,BOKL,61.37,255.00,255.00,247.00,253.00,251.05,"141,772.00",250.00,"35,591,893.00",343,3.00,8.00,1.20,3.24,0.77,301.00,196.00
3,CBL,59.07,173.00,184.00,171.00,177.00,174.45,"402,308.00",171.00,"70,184,608.00",694,6.00,13.00,3.51,7.60,1.44,188.00,125.00
4,CCBL,67.70,193.00,205.00,190.00,202.00,197.72,"447,582.00",190.00,"88,494,481.00","1,017",12.00,15.00,6.32,7.89,2.12,210.00,136.00
5,CZBIL,58.97,250.00,256.00,246.00,251.00,250.61,"560,185.00",246.00,"140,385,597.00","1,142",5.00,10.00,2.03,4.07,0.16,258.00,164.00
6,EBL,66.96,670.00,682.00,662.00,681.00,673.29,"64,816.00",666.00,"43,640,271.00",396,15.00,20.00,2.25,3.02,1.13,932.00,517.00
7,GBIME,59.45,313.00,313.00,308.00,312.00,309.87,"219,940.00",307.00,"68,153,629.00",871,5.00,5.00,1.63,1.62,0.68,331.00,144.48
8,HBL,57.12,599.00,600.00,590.00,598.00,594.93,"38,103.00",590.00,"22,668,577.00",130,8.00,10.00,1.36,1.69,0.51,735.00,452.00
9,KBL,63.92,253.00,259.00,251.00,259.00,255.23,"327,840.00",251.00,"83,675,953.00",890,8.00,8.00,3.19,3.19,1.45,261.00,153.00
10,LBL,59.91,273.00,282.00,270.00,273.00,274.71,"118,713.00",268.00,"32,611,448.00",304,5.00,12.00,1.87,4.44,-0.63,299.00,184.00
11,MBL,52.10,234.00,239.00,233.00,239.00,236.63,"122,362.00",233.00,"28,954,663.00",293,6.00,6.00,2.58,2.58,0.99,295.00,199.00
12,MEGA,64.76,240.00,257.00,240.00,257.00,252.96,"263,923.00",247.00,"66,762,439.00",807,10.00,17.00,4.05,7.08,1.57,279.00,177.00
13,NABIL,67.32,981.00,"1,039.00",972.00,"1,038.00","1,002.11","295,613.00",972.00,"296,235,333.00","1,290",66.00,67.00,6.79,6.89,3.46,"1,039.00",594.00
14,NBB,60.52,248.00,249.00,243.00,249.00,245.63,"180,412.00",244.00,"44,314,898.00",495,5.00,6.00,2.05,2.47,1.35,270.00,169.00
15,NBL,68.85,379.00,393.00,378.00,393.00,385.44,"607,493.00",378.00,"234,150,750.00",974,15.00,15.00,3.97,3.97,1.92,393.00,214.00
16,NCCB,68.04,240.00,243.00,235.00,240.00,239.20,"131,770.00",236.00,"31,519,590.00",297,4.00,8.00,1.69,3.40,0.33,246.00,163.00
17,NIB,66.58,435.00,439.00,426.00,431.00,428.56,"77,126.00",427.00,"33,053,112.00",433,4.00,13.00,0.94,3.05,0.57,532.00,335.00
18,NICA,65.35,610.00,640.00,605.00,634.00,623.23,"309,672.00",586.00,"192,996,761.00","1,889",48.00,35.00,8.91,5.79,1.70,720.00,398.00
19,NMB,59.88,445.00,445.00,434.00,438.00,437.76,"231,704.00",430.00,"101,430,413.00",864,8.00,11.00,1.86,2.53,0.06,517.00,321.00
20,PCBL,61.76,397.00,398.00,388.00,395.00,393.02,"196,116.00",391.00,"77,077,009.00",625,4.00,10.00,1.02,2.58,0.50,398.00,219.19
21,PRVU,60.96,316.00,336.00,316.00,333.00,322.37,"608,221.00",316.00,"196,074,249.00","1,502",17.00,20.00,5.38,6.33,3.19,336.00,195.00
22,SANIMA,60.95,326.00,326.00,312.00,318.00,315.17,"115,681.00",312.00,"36,459,620.00",364,6.00,14.00,1.92,4.49,0.89,437.00,287.00
23,SBI,56.21,392.00,438.00,392.00,419.00,419.88,"50,557.00",412.00,"21,228,104.00",210,7.00,46.00,1.70,11.73,-0.21,583.00,344.00
24,SBL,63.17,345.00,351.00,340.00,351.00,344.22,"136,544.00",339.00,"47,001,722.00",402,12.00,11.00,3.54,3.24,1.93,393.00,252.00
25,SCB,63.89,634.00,640.00,628.00,635.00,633.14,"45,494.00",629.00,"28,804,040.00",384,6.00,12.00,0.95,1.91,0.29,850.00,505.00
26,SRBL,54.76,250.00,251.00,246.00,248.00,248.35,"86,069.00",247.00,"21,375,605.00",262,1.00,5.00,0.40,2.03,-0.14,316.00,201.00
