S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,440.00,465.00,437.00,439.00,444.07,"18,863.00",440.00,"8,376,472.00",98,-1.00,28.00,0.00,6.41,-1.15,0.00,0.00
2,BOKL,-,546.00,564.00,539.00,539.00,547.73,"43,351.00",546.00,"23,744,428.00",247,-7.00,25.00,0.00,4.64,-1.62,0.00,0.00
3,CBL,-,215.00,220.00,211.00,215.00,212.93,"63,913.00",215.00,"13,609,002.00",87,0.00,9.00,0.00,4.27,0.96,0.00,0.00
4,CCBL,-,291.00,302.00,287.00,292.00,293.29,"21,176.00",291.00,"6,210,628.00",93,1.00,15.00,0.00,5.23,-0.44,0.00,0.00
5,CZBIL,-,439.00,450.00,433.00,439.00,439.11,"24,523.00",439.00,"10,768,314.00",141,0.00,17.00,0.00,3.93,-0.03,0.00,0.00
6,EBL,-,"1,763.00","1,820.00","1,735.00","1,740.00","1,770.43","5,584.00","1,763.00","9,886,059.00",87,-23.00,85.00,0.00,4.90,-1.75,0.00,0.00
7,GBIME,-,395.00,410.00,384.00,392.00,395.39,"9,344.00",395.00,"3,694,494.00",60,-3.00,26.00,0.00,6.77,-0.86,0.00,0.00
8,HBL,-,870.00,882.00,860.00,870.00,871.71,"1,825.00",870.00,"1,590,875.00",29,0.00,22.00,0.00,2.56,-0.20,0.00,0.00
9,KBL,-,520.00,540.00,510.00,519.00,520.76,"18,377.00",520.00,"9,569,977.00",115,-1.00,30.00,0.00,5.88,-0.34,0.00,0.00
10,LBL,-,705.00,719.00,691.00,691.00,701.08,"8,752.00",705.00,"6,135,862.00",79,-14.00,28.00,0.00,4.05,-1.46,0.00,0.00
11,MBL,-,381.00,390.00,368.00,372.00,380.57,"15,240.00",381.00,"5,799,909.00",99,-9.00,22.00,0.00,5.98,-2.30,0.00,0.00
12,NABIL,-,"1,520.00","1,550.00","1,495.00","1,515.00","1,525.91","7,723.00","1,520.00","11,784,598.00",96,-5.00,55.00,0.00,3.68,-0.72,0.00,0.00
13,NBB,-,639.00,659.00,630.00,636.00,642.71,"28,556.00",639.00,"18,353,156.00",185,-3.00,29.00,0.00,4.60,-1.05,0.00,0.00
14,NBL,-,367.00,381.00,360.00,364.00,366.36,"37,277.00",367.00,"13,656,965.00",99,-3.00,21.00,0.00,5.83,-0.65,0.00,0.00
15,NIB,-,691.00,704.00,680.00,689.00,690.77,"19,029.00",691.00,"13,144,672.00",205,-2.00,24.00,0.00,3.53,-0.26,0.00,0.00
16,NICA,-,440.00,449.00,432.00,435.00,439.09,"18,519.00",440.00,"8,131,521.00",102,-5.00,17.00,0.00,3.94,-0.94,0.00,0.00
17,NMB,-,475.00,492.00,461.00,474.00,472.75,"14,411.00",475.00,"6,812,819.00",101,-1.00,31.00,0.00,6.72,0.26,0.00,0.00
18,PCBL,-,380.00,394.00,368.00,372.00,379.81,"23,431.00",380.00,"8,899,313.00",129,-8.00,26.00,0.00,7.07,-2.10,0.00,0.00
19,PRVU,-,315.00,327.00,311.00,315.00,316.52,"60,335.00",315.00,"19,097,286.00",287,0.00,16.00,0.00,5.14,-0.48,0.00,0.00
20,SANIMA,-,474.00,492.00,465.00,477.00,478.25,"25,647.00",474.00,"12,265,757.00",167,3.00,27.00,0.00,5.81,-0.26,0.00,0.00
21,SBI,-,"1,029.00","1,070.00","1,020.00","1,054.00","1,049.87","7,011.00","1,029.00","7,360,631.00",73,25.00,50.00,0.00,4.90,0.39,0.00,0.00
22,SBL,-,590.00,614.00,575.00,588.00,590.47,"15,873.00",590.00,"9,372,559.00",141,-2.00,39.00,0.00,6.78,-0.42,0.00,0.00
23,SCB,-,"2,003.00","2,043.00","1,960.00","1,998.00","2,009.23","4,904.00","2,003.00","9,853,266.00",70,-5.00,83.00,0.00,4.23,-0.56,0.00,0.00
24,SRBL,-,426.00,442.00,412.00,416.00,423.72,"11,034.00",426.00,"4,675,295.00",75,-10.00,30.00,0.00,7.28,-1.86,0.00,0.00
