S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,109.00,109.00,105.00,107.00,106.70,"2,747.00",109.00,"293,109.00",28,-2.00,4.00,0.00,3.81,0.28,0.00,0.00
2,CZBIL,-,164.00,166.00,161.00,165.00,164.00,"2,096.00",164.00,"343,741.00",20,1.00,5.00,0.00,3.11,0.61,0.00,0.00
3,EBL,-,694.00,681.00,665.00,680.00,667.58,"4,064.00",694.00,"2,713,062.00",25,-14.00,16.00,0.00,2.41,1.83,0.00,0.00
4,HBL,-,455.00,455.00,451.00,451.00,451.37,"1,085.00",455.00,"489,735.00",4,-4.00,4.00,0.00,0.89,-0.08,0.00,0.00
5,KBL,-,185.00,185.00,184.00,185.00,184.52,"1,046.00",185.00,"193,012.00",6,0.00,1.00,0.00,0.54,0.26,0.00,0.00
6,LBL,-,229.00,228.00,225.00,226.00,225.66,"1,465.00",229.00,"330,586.00",13,-3.00,3.00,0.00,1.33,0.15,0.00,0.00
7,NABIL,-,850.00,856.00,833.00,844.00,837.82,"1,025.00",850.00,"858,766.00",11,-6.00,23.00,0.00,2.76,0.73,0.00,0.00
8,NBB,-,114.00,115.00,112.00,112.00,114.73,"6,243.00",114.00,"716,275.00",4,-2.00,3.00,0.00,2.68,-2.44,0.00,0.00
9,NIB,-,372.00,372.00,370.00,372.00,370.29,271.00,372.00,"100,348.00",2,0.00,2.00,0.00,0.54,0.46,0.00,0.00
10,NMB,-,148.00,150.00,148.00,150.00,149.20,331.00,148.00,"49,385.00",5,2.00,2.00,0.00,1.35,0.53,0.00,0.00
11,PCBL,-,177.00,178.00,171.00,172.00,173.30,"2,627.00",177.00,"455,249.00",15,-5.00,7.00,0.00,4.09,-0.75,0.00,0.00
12,SBI,-,416.00,428.00,420.00,422.00,421.88,710.00,416.00,"299,536.00",6,6.00,8.00,0.00,1.90,0.03,0.00,0.00
13,SBL,-,203.00,207.00,203.00,203.00,203.40,391.00,203.00,"79,529.00",4,0.00,4.00,0.00,1.97,-0.20,0.00,0.00
14,SCB,-,"1,340.00","1,365.00","1,345.00","1,352.00","1,349.13",202.00,"1,340.00","272,524.00",6,12.00,20.00,0.00,1.49,0.21,0.00,0.00
15,SRBL,-,120.00,124.00,120.00,121.00,120.97,"1,708.00",120.00,"206,624.00",20,1.00,4.00,0.00,3.33,0.02,0.00,0.00
