S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,212.00,218.00,209.00,218.00,211.42,833.00,212.00,"176,111.00",10,6.00,9.00,0.00,4.31,3.02,0.00,0.00
2,CBL,-,147.00,149.00,146.00,147.00,147.58,"2,430.00",147.00,"358,628.00",13,0.00,3.00,0.00,2.05,-0.40,0.00,0.00
3,CZBIL,-,260.00,264.00,259.00,264.00,260.35,"1,038.00",260.00,"270,239.00",7,4.00,5.00,0.00,1.93,1.38,0.00,0.00
4,EBL,-,"1,599.00","1,610.00","1,575.00","1,609.00","1,598.45","2,876.00","1,599.00","4,597,136.00",27,10.00,35.00,0.00,2.22,0.66,0.00,0.00
5,HBL,-,714.00,700.00,700.00,700.00,700.00,179.00,714.00,"125,300.00",3,-14.00,0.00,0.00,0.00,0.00,0.00,0.00
6,KBL,-,255.00,255.00,253.00,255.00,254.04,416.00,255.00,"105,680.00",2,0.00,2.00,0.00,0.79,0.38,0.00,0.00
7,LBL,-,310.00,309.00,304.00,308.00,304.71,"1,480.00",310.00,"450,975.00",5,-2.00,5.00,0.00,1.64,1.07,0.00,0.00
8,MBL,-,203.00,203.00,196.00,196.00,199.50,"3,110.00",203.00,"620,442.00",12,-7.00,7.00,0.00,3.57,-1.79,0.00,0.00
9,NABIL,-,"1,800.00","1,825.00","1,801.00","1,825.00","1,808.31","3,409.00","1,800.00","6,164,521.00",14,25.00,24.00,0.00,1.33,0.91,0.00,0.00
10,NBB,-,300.00,298.00,294.00,295.00,294.94,"3,300.00",300.00,"973,300.00",9,-5.00,4.00,0.00,1.36,0.02,0.00,0.00
11,NCCB,-,216.00,218.00,212.00,218.00,212.45,"87,110.00",216.00,"18,506,400.00",215,2.00,6.00,0.00,2.83,2.55,0.00,0.00
12,NIB,-,781.00,782.00,778.00,780.00,779.58,"2,033.00",781.00,"1,584,877.00",12,-1.00,4.00,0.00,0.51,0.05,0.00,0.00
13,NICA,-,554.00,609.00,565.00,609.00,595.36,150.00,554.00,"89,304.00",6,55.00,44.00,0.00,7.79,2.24,0.00,0.00
14,NMB,-,252.00,261.00,253.00,261.00,255.25,732.00,252.00,"186,840.00",5,9.00,8.00,0.00,3.16,2.20,0.00,0.00
15,PCBL,-,322.00,324.00,320.00,320.00,321.47,"3,699.00",322.00,"1,189,103.00",38,-2.00,4.00,0.00,1.25,-0.46,0.00,0.00
16,SANIMA,-,255.00,255.00,250.00,255.00,254.12,"3,290.00",255.00,"836,040.00",7,0.00,5.00,0.00,2.00,0.35,0.00,0.00
17,SBI,-,852.00,850.00,835.00,850.00,847.15,"1,134.00",852.00,"960,666.00",12,-2.00,15.00,0.00,1.80,0.34,0.00,0.00
18,SBL,-,302.00,305.00,300.00,305.00,302.40,"1,262.00",302.00,"381,632.00",7,3.00,5.00,0.00,1.67,0.85,0.00,0.00
19,SCB,-,"1,825.00","1,825.00","1,825.00","1,825.00","1,825.00",30.00,"1,825.00","54,750.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
