S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,"1,010.00","1,020.00",992.00,"1,020.00","1,000.28","33,089.00","1,010.00","33,098,280.00",145,10.00,28.00,0.00,2.82,1.93,0.00,0.00
2,CCBL,-,449.00,457.00,442.00,447.00,447.66,"23,683.00",449.00,"10,601,970.00",120,-2.00,15.00,0.00,3.39,-0.15,0.00,0.00
3,CZBIL,-,730.00,733.00,716.00,720.00,723.62,"21,506.00",730.00,"15,562,230.00",116,-10.00,17.00,0.00,2.37,-0.50,0.00,0.00
4,EBL,-,"3,225.00","3,250.00","3,206.00","3,248.00","3,235.95","7,389.00","3,225.00","23,910,436.00",71,23.00,44.00,0.00,1.37,0.37,0.00,0.00
5,GBIME,-,543.00,549.00,530.00,532.00,536.60,"35,416.00",543.00,"19,004,244.00",164,-11.00,19.00,0.00,3.58,-0.86,0.00,0.00
6,HBL,-,"1,574.00","1,564.00","1,550.00","1,550.00","1,558.45","6,013.00","1,574.00","9,370,972.00",44,-24.00,14.00,0.00,0.90,-0.55,0.00,0.00
7,LBL,-,888.00,910.00,873.00,877.00,890.82,"28,645.00",888.00,"25,517,616.00",148,-11.00,37.00,0.00,4.24,-1.58,0.00,0.00
8,MBL,-,854.00,874.00,844.00,844.00,856.93,"32,593.00",854.00,"27,929,824.00",176,-10.00,30.00,0.00,3.55,-1.53,0.00,0.00
9,MEGA,-,514.00,524.00,510.00,518.00,515.32,"17,614.00",514.00,"9,076,916.00",131,4.00,14.00,0.00,2.75,0.52,0.00,0.00
10,NABIL,-,"2,350.00","2,397.00","2,340.00","2,360.00","2,356.42","6,065.00","2,350.00","14,291,662.00",41,10.00,57.00,0.00,2.44,0.15,0.00,0.00
11,NBB,-,"1,040.00","1,050.00","1,025.00","1,039.00","1,038.91","69,288.00","1,040.00","71,983,864.00",338,-1.00,25.00,0.00,2.44,0.01,0.00,0.00
12,NBL,-,560.00,582.00,558.00,562.00,566.21,"242,286.00",560.00,"137,183,968.00",565,2.00,24.00,0.00,4.30,-0.75,0.00,0.00
13,NIB,-,"1,047.00","1,046.00","1,034.00","1,042.00","1,040.11","37,121.00","1,047.00","38,609,832.00",487,-5.00,12.00,0.00,1.16,0.18,0.00,0.00
14,NICA,-,850.00,852.00,845.00,846.00,848.09,"18,495.00",850.00,"15,685,468.00",96,-4.00,7.00,0.00,0.83,-0.25,0.00,0.00
15,NMB,-,853.00,870.00,851.00,855.00,859.91,"44,946.00",853.00,"38,649,376.00",203,2.00,19.00,0.00,2.23,-0.57,0.00,0.00
16,PCBL,-,671.00,696.00,663.00,690.00,681.56,"26,458.00",671.00,"18,032,602.00",117,19.00,33.00,0.00,4.98,1.22,0.00,0.00
17,SANIMA,-,784.00,785.00,769.00,772.00,773.92,"20,067.00",784.00,"15,530,162.00",106,-12.00,16.00,0.00,2.08,-0.25,0.00,0.00
18,SBI,-,"1,955.00","1,975.00","1,920.00","1,930.00","1,945.75","3,638.00","1,955.00","7,078,629.00",36,-25.00,55.00,0.00,2.86,-0.82,0.00,0.00
19,SBL,-,"1,295.00","1,310.00","1,280.00","1,290.00","1,293.70","33,062.00","1,295.00","42,772,164.00",209,-5.00,30.00,0.00,2.34,-0.29,0.00,0.00
20,SCB,-,"3,565.00","3,636.00","3,530.00","3,550.00","3,567.31","1,379.00","3,565.00","4,919,325.00",20,-15.00,106.00,0.00,3.00,-0.49,0.00,0.00
21,SRBL,-,832.00,835.00,818.00,826.00,826.40,"18,941.00",832.00,"15,652,923.00",101,-6.00,17.00,0.00,2.08,-0.05,0.00,0.00
